Categoría: Todas las categorías

Día,Fe: (Portugal)
2018-12-30,45
2018-12-31,75
2019-01-01,59
2019-01-02,46
2019-01-03,53
2019-01-04,47
2019-01-05,44
2019-01-06,42
2019-01-07,65
2019-01-08,37
2019-01-09,66
2019-01-10,94
2019-01-11,56
2019-01-12,58
2019-01-13,68
2019-01-14,73
2019-01-15,66
2019-01-16,68
2019-01-17,55
2019-01-18,43
2019-01-19,72
2019-01-20,55
2019-01-21,60
2019-01-22,41
2019-01-23,56
2019-01-24,63
2019-01-25,69
2019-01-26,50
2019-01-27,71
2019-01-28,58
2019-01-29,83
2019-01-30,100
2019-01-31,81
2019-02-01,65
2019-02-02,91
2019-02-03,85
2019-02-04,66
2019-02-05,64
2019-02-06,65
2019-02-07,72
2019-02-08,84
2019-02-09,43
2019-02-10,55
2019-02-11,54
2019-02-12,44
2019-02-13,36
2019-02-14,62
2019-02-15,79
2019-02-16,81
2019-02-17,87
2019-02-18,67
2019-02-19,70
2019-02-20,50
2019-02-21,51
2019-02-22,63
2019-02-23,85
2019-02-24,74
2019-02-25,47
2019-02-26,61
2019-02-27,51
2019-02-28,61
2019-03-01,60
2019-03-02,57
2019-03-03,63
2019-03-04,97
2019-03-05,62
2019-03-06,70
2019-03-07,42
2019-03-08,62
2019-03-09,61
2019-03-10,91
2019-03-11,53
2019-03-12,68
2019-03-13,56
2019-03-14,58
2019-03-15,51
2019-03-16,60
2019-03-17,54
2019-03-18,82
2019-03-19,73
2019-03-20,83
2019-03-21,60
2019-03-22,64
2019-03-23,65
2019-03-24,64
2019-03-25,44
2019-03-26,61
2019-03-27,61
2019-03-28,57
2019-03-29,62
2019-03-30,36
2019-03-31,50
2019-04-01,43
2019-04-02,77
2019-04-03,91
2019-04-04,82
2019-04-05,58
2019-04-06,78
2019-04-07,84
2019-04-08,76
2019-04-09,86
2019-04-10,57
