Categoría: Todas las categorías

Día,Fe: (Suiza)
2018-12-30,60
2018-12-31,49
2019-01-01,0
2019-01-02,0
2019-01-03,33
2019-01-04,0
2019-01-05,56
2019-01-06,51
2019-01-07,69
2019-01-08,49
2019-01-09,29
2019-01-10,57
2019-01-11,31
2019-01-12,37
2019-01-13,60
2019-01-14,45
2019-01-15,68
2019-01-16,49
2019-01-17,0
2019-01-18,62
2019-01-19,48
2019-01-20,62
2019-01-21,61
2019-01-22,46
2019-01-23,51
2019-01-24,57
2019-01-25,45
2019-01-26,0
2019-01-27,49
2019-01-28,37
2019-01-29,54
2019-01-30,53
2019-01-31,56
2019-02-01,71
2019-02-02,67
2019-02-03,42
2019-02-04,66
2019-02-05,62
2019-02-06,63
2019-02-07,71
2019-02-08,52
2019-02-09,57
2019-02-10,80
2019-02-11,52
2019-02-12,40
2019-02-13,64
2019-02-14,43
2019-02-15,40
2019-02-16,0
2019-02-17,61
2019-02-18,48
2019-02-19,52
2019-02-20,69
2019-02-21,50
2019-02-22,68
2019-02-23,0
2019-02-24,100
2019-02-25,33
2019-02-26,63
2019-02-27,35
2019-02-28,59
2019-03-01,61
2019-03-02,69
2019-03-03,84
2019-03-04,36
2019-03-05,32
2019-03-06,37
2019-03-07,75
2019-03-08,43
2019-03-09,55
2019-03-10,61
2019-03-11,30
2019-03-12,0
2019-03-13,50
2019-03-14,55
2019-03-15,42
2019-03-16,60
2019-03-17,66
2019-03-18,36
2019-03-19,47
2019-03-20,59
2019-03-21,63
2019-03-22,0
2019-03-23,46
2019-03-24,75
2019-03-25,59
2019-03-26,78
2019-03-27,70
2019-03-28,61
2019-03-29,44
2019-03-30,73
2019-03-31,51
2019-04-01,60
2019-04-02,58
2019-04-03,65
2019-04-04,34
2019-04-05,64
2019-04-06,0
2019-04-07,50
2019-04-08,61
2019-04-09,0
2019-04-10,38
