Categoría: Todas las categorías

Día,Fe: (Bélgica)
2018-12-30,59
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,66
2019-01-07,0
2019-01-08,50
2019-01-09,58
2019-01-10,0
2019-01-11,0
2019-01-12,0
2019-01-13,59
2019-01-14,58
2019-01-15,0
2019-01-16,0
2019-01-17,84
2019-01-18,51
2019-01-19,0
2019-01-20,64
2019-01-21,0
2019-01-22,77
2019-01-23,75
2019-01-24,64
2019-01-25,49
2019-01-26,0
2019-01-27,0
2019-01-28,0
2019-01-29,0
2019-01-30,53
2019-01-31,0
2019-02-01,55
2019-02-02,71
2019-02-03,0
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,0
2019-02-11,53
2019-02-12,57
2019-02-13,0
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,0
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,0
2019-02-25,61
2019-02-26,0
2019-02-27,0
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,0
2019-03-04,0
2019-03-05,0
2019-03-06,0
2019-03-07,0
2019-03-08,0
2019-03-09,0
2019-03-10,0
2019-03-11,0
2019-03-12,51
2019-03-13,0
2019-03-14,56
2019-03-15,0
2019-03-16,72
2019-03-17,78
2019-03-18,59
2019-03-19,0
2019-03-20,50
2019-03-21,0
2019-03-22,60
2019-03-23,0
2019-03-24,100
2019-03-25,61
2019-03-26,66
2019-03-27,0
2019-03-28,66
2019-03-29,0
2019-03-30,0
2019-03-31,62
2019-04-01,0
2019-04-02,48
2019-04-03,51
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,0
2019-04-08,56
2019-04-09,0
2019-04-10,0
