Categoría: Todas las categorías

Día,Fe: (Reino Unido)
2018-12-30,65
2018-12-31,48
2019-01-01,53
2019-01-02,51
2019-01-03,70
2019-01-04,47
2019-01-05,60
2019-01-06,77
2019-01-07,69
2019-01-08,75
2019-01-09,69
2019-01-10,71
2019-01-11,57
2019-01-12,86
2019-01-13,100
2019-01-14,82
2019-01-15,78
2019-01-16,74
2019-01-17,75
2019-01-18,72
2019-01-19,64
2019-01-20,71
2019-01-21,73
2019-01-22,81
2019-01-23,72
2019-01-24,73
2019-01-25,73
2019-01-26,83
2019-01-27,81
2019-01-28,74
2019-01-29,78
2019-01-30,74
2019-01-31,73
2019-02-01,77
2019-02-02,74
2019-02-03,100
2019-02-04,71
2019-02-05,68
2019-02-06,78
2019-02-07,80
2019-02-08,63
2019-02-09,81
2019-02-10,87
2019-02-11,83
2019-02-12,70
2019-02-13,66
2019-02-14,69
2019-02-15,72
2019-02-16,72
2019-02-17,88
2019-02-18,74
2019-02-19,89
2019-02-20,98
2019-02-21,75
2019-02-22,81
2019-02-23,82
2019-02-24,78
2019-02-25,76
2019-02-26,82
2019-02-27,71
2019-02-28,83
2019-03-01,76
2019-03-02,67
2019-03-03,77
2019-03-04,72
2019-03-05,75
2019-03-06,89
2019-03-07,74
2019-03-08,81
2019-03-09,67
2019-03-10,69
2019-03-11,69
2019-03-12,61
2019-03-13,74
2019-03-14,53
2019-03-15,75
2019-03-16,71
2019-03-17,89
2019-03-18,79
2019-03-19,72
2019-03-20,82
2019-03-21,72
2019-03-22,61
2019-03-23,64
2019-03-24,75
2019-03-25,79
2019-03-26,56
2019-03-27,72
2019-03-28,62
2019-03-29,71
2019-03-30,68
2019-03-31,68
2019-04-01,67
2019-04-02,58
2019-04-03,74
2019-04-04,59
2019-04-05,56
2019-04-06,86
2019-04-07,69
2019-04-08,62
2019-04-09,50
2019-04-10,68
