Categoría: Todas las categorías

Semana,Fe: (Portugal)
2018-12-30,51
2019-01-06,56
2019-01-13,65
2019-01-20,65
2019-01-27,81
2019-02-03,66
2019-02-10,64
2019-02-17,66
2019-02-24,57
2019-03-03,67
2019-03-10,63
2019-03-17,64
2019-03-24,57
2019-03-31,69
2019-04-07,73
2019-04-14,68
2019-04-21,77
2019-04-28,73
2019-05-05,90
2019-05-12,100
2019-05-19,100
2019-05-26,91
2019-06-02,82
2019-06-09,92
2019-06-16,83
2019-06-23,64
2019-06-30,59
2019-07-07,61
2019-07-14,64
2019-07-21,57
2019-07-28,64
2019-08-04,59
2019-08-11,54
2019-08-18,49
2019-08-25,59
2019-09-01,50
2019-09-08,48
2019-09-15,58
2019-09-22,58
2019-09-29,57
2019-10-06,57
2019-10-13,55
2019-10-20,57
2019-10-27,53
2019-11-03,48
2019-11-10,47
2019-11-17,56
2019-11-24,47
2019-12-01,60
2019-12-08,49
2019-12-15,47
2019-12-22,50
2019-12-29,53
2020-01-05,57
2020-01-12,57
2020-01-19,50
2020-01-26,54
2020-02-02,57
2020-02-09,55
2020-02-16,55
2020-02-23,58
2020-03-01,64
2020-03-08,65
2020-03-15,85
2020-03-22,80
2020-03-29,71
2020-04-05,75
