Categoría: Todas las categorías

Semana,Fe: (Alemania)
2018-12-30,75
2019-01-06,81
2019-01-13,77
2019-01-20,76
2019-01-27,74
2019-02-03,78
2019-02-10,70
2019-02-17,77
2019-02-24,71
2019-03-03,73
2019-03-10,74
2019-03-17,75
2019-03-24,71
2019-03-31,74
2019-04-07,69
2019-04-14,73
2019-04-21,78
2019-04-28,82
2019-05-05,82
2019-05-12,77
2019-05-19,80
2019-05-26,83
2019-06-02,78
2019-06-09,79
2019-06-16,81
2019-06-23,74
2019-06-30,73
2019-07-07,76
2019-07-14,67
2019-07-21,70
2019-07-28,71
2019-08-04,70
2019-08-11,66
2019-08-18,67
2019-08-25,71
2019-09-01,71
2019-09-08,72
2019-09-15,74
2019-09-22,67
2019-09-29,82
2019-10-06,84
2019-10-13,77
2019-10-20,73
2019-10-27,78
2019-11-03,80
2019-11-10,78
2019-11-17,81
2019-11-24,75
2019-12-01,73
2019-12-08,77
2019-12-15,80
2019-12-22,90
2019-12-29,90
2020-01-05,82
2020-01-12,100
2020-01-19,85
2020-01-26,84
2020-02-02,81
2020-02-09,78
2020-02-16,81
2020-02-23,76
2020-03-01,78
2020-03-08,68
2020-03-15,70
2020-03-22,86
2020-03-29,87
2020-04-05,88
