Categoría: Todas las categorías

Semana,Dios: (Alemania)
2018-12-30,83
2019-01-06,84
2019-01-13,85
2019-01-20,80
2019-01-27,78
2019-02-03,78
2019-02-10,81
2019-02-17,81
2019-02-24,76
2019-03-03,76
2019-03-10,80
2019-03-17,77
2019-03-24,84
2019-03-31,77
2019-04-07,78
2019-04-14,81
2019-04-21,82
2019-04-28,84
2019-05-05,82
2019-05-12,85
2019-05-19,82
2019-05-26,85
2019-06-02,79
2019-06-09,81
2019-06-16,87
2019-06-23,80
2019-06-30,80
2019-07-07,83
2019-07-14,80
2019-07-21,77
2019-07-28,69
2019-08-04,74
2019-08-11,80
2019-08-18,78
2019-08-25,78
2019-09-01,77
2019-09-08,78
2019-09-15,76
2019-09-22,79
2019-09-29,85
2019-10-06,77
2019-10-13,76
2019-10-20,80
2019-10-27,78
2019-11-03,80
2019-11-10,81
2019-11-17,82
2019-11-24,76
2019-12-01,100
2019-12-08,79
2019-12-15,82
2019-12-22,89
2019-12-29,83
2020-01-05,79
2020-01-12,82
2020-01-19,83
2020-01-26,85
2020-02-02,89
2020-02-09,83
2020-02-16,85
2020-02-23,80
2020-03-01,82
2020-03-08,81
2020-03-15,83
2020-03-22,99
2020-03-29,93
2020-04-05,97
