Categoría: Budismo

Semana,Geo: España
2018-12-30,84
2019-01-06,87
2019-01-13,81
2019-01-20,86
2019-01-27,90
2019-02-03,90
2019-02-10,81
2019-02-17,98
2019-02-24,84
2019-03-03,83
2019-03-10,86
2019-03-17,87
2019-03-24,88
2019-03-31,89
2019-04-07,92
2019-04-14,96
2019-04-21,93
2019-04-28,92
2019-05-05,100
2019-05-12,100
2019-05-19,85
2019-05-26,80
2019-06-02,91
2019-06-09,95
2019-06-16,82
2019-06-23,81
2019-06-30,82
2019-07-07,90
2019-07-14,83
2019-07-21,87
2019-07-28,89
2019-08-04,86
2019-08-11,98
2019-08-18,90
2019-08-25,94
2019-09-01,86
2019-09-08,84
2019-09-15,87
2019-09-22,94
2019-09-29,88
2019-10-06,91
2019-10-13,94
2019-10-20,94
2019-10-27,90
2019-11-03,92
2019-11-10,88
2019-11-17,95
2019-11-24,90
2019-12-01,86
2019-12-08,84
2019-12-15,81
2019-12-22,84
2019-12-29,84
2020-01-05,85
2020-01-12,93
2020-01-19,93
2020-01-26,88
2020-02-02,82
2020-02-09,84
2020-02-16,88
2020-02-23,83
2020-03-01,86
2020-03-08,72
2020-03-15,77
2020-03-22,86
2020-03-29,93
2020-04-05,88
