Categoría: Judaísmo

Semana,Geo: Reino Unido
2018-12-30,46
2019-01-06,51
2019-01-13,48
2019-01-20,56
2019-01-27,50
2019-02-03,49
2019-02-10,47
2019-02-17,44
2019-02-24,50
2019-03-03,53
2019-03-10,53
2019-03-17,53
2019-03-24,46
2019-03-31,43
2019-04-07,47
2019-04-14,52
2019-04-21,45
2019-04-28,50
2019-05-05,49
2019-05-12,48
2019-05-19,46
2019-05-26,43
2019-06-02,46
2019-06-09,46
2019-06-16,43
2019-06-23,43
2019-06-30,38
2019-07-07,42
2019-07-14,42
2019-07-21,43
2019-07-28,42
2019-08-04,42
2019-08-11,44
2019-08-18,42
2019-08-25,39
2019-09-01,41
2019-09-08,46
2019-09-15,46
2019-09-22,51
2019-09-29,53
2019-10-06,56
2019-10-13,46
2019-10-20,46
2019-10-27,49
2019-11-03,56
2019-11-10,60
2019-11-17,60
2019-11-24,68
2019-12-01,54
2019-12-08,59
2019-12-15,56
2019-12-22,54
2019-12-29,63
2020-01-05,70
2020-01-12,58
2020-01-19,58
2020-01-26,59
2020-02-02,57
2020-02-09,58
2020-02-16,61
2020-02-23,60
2020-03-01,62
2020-03-08,62
2020-03-15,62
2020-03-22,82
2020-03-29,92
2020-04-05,100
