Categoría: Todas las categorías

Día,Church: (Irlanda)
2018-12-30,100
2018-12-31,72
2019-01-01,63
2019-01-02,49
2019-01-03,51
2019-01-04,62
2019-01-05,69
2019-01-06,70
2019-01-07,48
2019-01-08,56
2019-01-09,52
2019-01-10,57
2019-01-11,56
2019-01-12,68
2019-01-13,74
2019-01-14,66
2019-01-15,58
2019-01-16,52
2019-01-17,48
2019-01-18,48
2019-01-19,83
2019-01-20,84
2019-01-21,52
2019-01-22,62
2019-01-23,60
2019-01-24,56
2019-01-25,58
2019-01-26,72
2019-01-27,74
2019-01-28,57
2019-01-29,59
2019-01-30,52
2019-01-31,53
2019-02-01,57
2019-02-02,59
2019-02-03,76
2019-02-04,57
2019-02-05,56
2019-02-06,54
2019-02-07,54
2019-02-08,56
2019-02-09,77
2019-02-10,75
2019-02-11,62
2019-02-12,60
2019-02-13,50
2019-02-14,57
2019-02-15,58
2019-02-16,85
2019-02-17,79
2019-02-18,62
2019-02-19,50
2019-02-20,41
2019-02-21,49
2019-02-22,54
2019-02-23,68
2019-02-24,65
2019-02-25,70
2019-02-26,66
2019-02-27,53
2019-02-28,58
2019-03-01,59
2019-03-02,72
2019-03-03,82
2019-03-04,66
2019-03-05,76
2019-03-06,99
2019-03-07,53
2019-03-08,59
2019-03-09,80
2019-03-10,79
2019-03-11,61
2019-03-12,53
2019-03-13,52
2019-03-14,49
2019-03-15,69
2019-03-16,78
2019-03-17,82
2019-03-18,59
2019-03-19,56
2019-03-20,55
2019-03-21,55
2019-03-22,65
2019-03-23,73
2019-03-24,79
2019-03-25,60
2019-03-26,61
2019-03-27,52
2019-03-28,55
2019-03-29,58
2019-03-30,76
2019-03-31,74
2019-04-01,57
2019-04-02,55
2019-04-03,53
2019-04-04,62
2019-04-05,63
2019-04-06,75
2019-04-07,82
2019-04-08,64
2019-04-09,56
2019-04-10,55
