date,/m/06bvp,isPartial
2018-12-30,71,False
2019-01-06,73,False
2019-01-13,71,False
2019-01-20,60,False
2019-01-27,65,False
2019-02-03,69,False
2019-02-10,66,False
2019-02-17,71,False
2019-02-24,70,False
2019-03-03,69,False
2019-03-10,79,False
2019-03-17,76,False
2019-03-24,67,False
2019-03-31,70,False
2019-04-07,68,False
2019-04-14,73,False
2019-04-21,100,False
2019-04-28,69,False
2019-05-05,79,False
2019-05-12,72,False
2019-05-19,71,False
2019-05-26,70,False
2019-06-02,69,False
2019-06-09,65,False
2019-06-16,65,False
2019-06-23,59,False
2019-06-30,58,False
2019-07-07,60,False
2019-07-14,53,False
2019-07-21,47,False
2019-07-28,52,False
2019-08-04,50,False
2019-08-11,69,False
2019-08-18,60,False
2019-08-25,61,False
2019-09-01,63,False
2019-09-08,62,False
2019-09-15,69,False
2019-09-22,67,False
2019-09-29,70,False
2019-10-06,68,False
2019-10-13,66,False
2019-10-20,76,False
2019-10-27,77,False
2019-11-03,76,False
2019-11-10,74,False
2019-11-17,74,False
2019-11-24,78,False
2019-12-01,69,False
2019-12-08,81,False
2019-12-15,67,False
2019-12-22,80,False
2019-12-29,79,False
2020-01-05,82,False
2020-01-12,76,False
2020-01-19,72,False
2020-01-26,70,False
2020-02-02,71,False
2020-02-09,69,False
2020-02-16,71,False
2020-02-23,65,False
2020-03-01,70,False
2020-03-08,69,False
2020-03-15,57,False
2020-03-22,74,False
2020-03-29,72,False
2020-04-05,86,False
