date,/m/06bvp,isPartial
2018-12-30,69,False
2018-12-31,65,False
2019-01-01,70,False
2019-01-02,59,False
2019-01-03,63,False
2019-01-04,61,False
2019-01-05,75,False
2019-01-06,100,False
2019-01-07,88,False
2019-01-08,78,False
2019-01-09,81,False
2019-01-10,76,False
2019-01-11,73,False
2019-01-12,73,False
2019-01-13,86,False
2019-01-14,76,False
2019-01-15,76,False
2019-01-16,65,False
2019-01-17,74,False
2019-01-18,53,False
2019-01-19,62,False
2019-01-20,83,False
2019-01-21,79,False
2019-01-22,64,False
2019-01-23,70,False
2019-01-24,77,False
2019-01-25,67,False
2019-01-26,62,False
2019-01-27,77,False
2019-01-28,78,False
2019-01-29,62,False
2019-01-30,73,False
2019-01-31,70,False
2019-02-01,59,False
2019-02-02,72,False
2019-02-03,68,False
2019-02-04,70,False
2019-02-05,89,False
2019-02-06,82,False
2019-02-07,92,False
2019-02-08,57,False
2019-02-09,63,False
2019-02-10,84,False
2019-02-11,82,False
2019-02-12,73,False
2019-02-13,73,False
2019-02-14,83,False
2019-02-15,72,False
2019-02-16,62,False
2019-02-17,72,False
2019-02-18,70,False
2019-02-19,68,False
2019-02-20,80,False
2019-02-21,73,False
2019-02-22,67,False
2019-02-23,59,False
2019-02-24,66,False
2019-02-25,65,False
2019-02-26,72,False
2019-02-27,77,False
2019-02-28,64,False
2019-03-01,58,False
2019-03-02,54,False
2019-03-03,81,False
2019-03-04,83,False
2019-03-05,77,False
2019-03-06,68,False
2019-03-07,76,False
2019-03-08,69,False
2019-03-09,67,False
2019-03-10,76,False
2019-03-11,75,False
2019-03-12,62,False
2019-03-13,76,False
2019-03-14,77,False
2019-03-15,77,False
2019-03-16,63,False
2019-03-17,82,False
2019-03-18,91,False
2019-03-19,88,False
2019-03-20,72,False
2019-03-21,88,False
2019-03-22,91,False
2019-03-23,64,False
2019-03-24,78,False
2019-03-25,75,False
2019-03-26,84,False
2019-03-27,81,False
2019-03-28,80,False
2019-03-29,61,False
2019-03-30,66,False
2019-03-31,73,False
2019-04-01,78,False
2019-04-02,75,False
2019-04-03,72,False
2019-04-04,86,False
2019-04-05,73,False
2019-04-06,78,False
2019-04-07,69,False
2019-04-08,70,False
2019-04-09,71,False
2019-04-10,67,False
