date,/m/06bvp,isPartial
2018-12-30,74,False
2019-01-06,81,False
2019-01-13,76,False
2019-01-20,76,False
2019-01-27,73,False
2019-02-03,70,False
2019-02-10,73,False
2019-02-17,70,False
2019-02-24,66,False
2019-03-03,68,False
2019-03-10,74,False
2019-03-17,83,False
2019-03-24,82,False
2019-03-31,66,False
2019-04-07,64,False
2019-04-14,80,False
2019-04-21,100,False
2019-04-28,73,False
2019-05-05,80,False
2019-05-12,73,False
2019-05-19,79,False
2019-05-26,79,False
2019-06-02,77,False
2019-06-09,73,False
2019-06-16,61,False
2019-06-23,69,False
2019-06-30,59,False
2019-07-07,57,False
2019-07-14,59,False
2019-07-21,49,False
2019-07-28,56,False
2019-08-04,52,False
2019-08-11,65,False
2019-08-18,60,False
2019-08-25,55,False
2019-09-01,52,False
2019-09-08,60,False
2019-09-15,64,False
2019-09-22,67,False
2019-09-29,62,False
2019-10-06,68,False
2019-10-13,72,False
2019-10-20,78,False
2019-10-27,73,False
2019-11-03,76,False
2019-11-10,71,False
2019-11-17,77,False
2019-11-24,75,False
2019-12-01,77,False
2019-12-08,71,False
2019-12-15,66,False
2019-12-22,82,False
2019-12-29,74,False
2020-01-05,73,False
2020-01-12,74,False
2020-01-19,77,False
2020-01-26,74,False
2020-02-02,73,False
2020-02-09,71,False
2020-02-16,81,False
2020-02-23,77,False
2020-03-01,84,False
2020-03-08,60,False
2020-03-15,81,False
2020-03-22,89,False
2020-03-29,67,False
2020-04-05,85,False
