date,/m/06bvp,isPartial
2018-12-30,27,False
2018-12-31,28,False
2019-01-01,32,False
2019-01-02,29,False
2019-01-03,24,False
2019-01-04,28,False
2019-01-05,33,False
2019-01-06,47,False
2019-01-07,37,False
2019-01-08,33,False
2019-01-09,37,False
2019-01-10,35,False
2019-01-11,24,False
2019-01-12,36,False
2019-01-13,44,False
2019-01-14,100,False
2019-01-15,67,False
2019-01-16,42,False
2019-01-17,37,False
2019-01-18,37,False
2019-01-19,32,False
2019-01-20,43,False
2019-01-21,33,False
2019-01-22,35,False
2019-01-23,43,False
2019-01-24,33,False
2019-01-25,30,False
2019-01-26,35,False
2019-01-27,45,False
2019-01-28,38,False
2019-01-29,31,False
2019-01-30,32,False
2019-01-31,34,False
2019-02-01,32,False
2019-02-02,24,False
2019-02-03,37,False
2019-02-04,32,False
2019-02-05,29,False
2019-02-06,33,False
2019-02-07,28,False
2019-02-08,24,False
2019-02-09,26,False
2019-02-10,41,False
2019-02-11,33,False
2019-02-12,27,False
2019-02-13,28,False
2019-02-14,31,False
2019-02-15,23,False
2019-02-16,30,False
2019-02-17,41,False
2019-02-18,34,False
2019-02-19,36,False
2019-02-20,29,False
2019-02-21,33,False
2019-02-22,36,False
2019-02-23,35,False
2019-02-24,37,False
2019-02-25,39,False
2019-02-26,40,False
2019-02-27,31,False
2019-02-28,32,False
2019-03-01,30,False
2019-03-02,30,False
2019-03-03,31,False
2019-03-04,24,False
2019-03-05,30,False
2019-03-06,35,False
2019-03-07,30,False
2019-03-08,31,False
2019-03-09,37,False
2019-03-10,42,False
2019-03-11,37,False
2019-03-12,34,False
2019-03-13,35,False
2019-03-14,45,False
2019-03-15,39,False
2019-03-16,40,False
2019-03-17,36,False
2019-03-18,38,False
2019-03-19,34,False
2019-03-20,36,False
2019-03-21,41,False
2019-03-22,29,False
2019-03-23,25,False
2019-03-24,35,False
2019-03-25,34,False
2019-03-26,34,False
2019-03-27,33,False
2019-03-28,38,False
2019-03-29,30,False
2019-03-30,38,False
2019-03-31,31,False
2019-04-01,34,False
2019-04-02,37,False
2019-04-03,25,False
2019-04-04,38,False
2019-04-05,22,False
2019-04-06,34,False
2019-04-07,29,False
2019-04-08,20,False
2019-04-09,27,False
2019-04-10,14,False
