date,Religie,isPartial
2018-12-30,0,False
2018-12-31,0,False
2019-01-01,0,False
2019-01-02,45,False
2019-01-03,0,False
2019-01-04,36,False
2019-01-05,0,False
2019-01-06,64,False
2019-01-07,47,False
2019-01-08,47,False
2019-01-09,44,False
2019-01-10,53,False
2019-01-11,36,False
2019-01-12,47,False
2019-01-13,59,False
2019-01-14,0,False
2019-01-15,33,False
2019-01-16,35,False
2019-01-17,40,False
2019-01-18,43,False
2019-01-19,0,False
2019-01-20,100,False
2019-01-21,38,False
2019-01-22,42,False
2019-01-23,40,False
2019-01-24,49,False
2019-01-25,47,False
2019-01-26,0,False
2019-01-27,37,False
2019-01-28,38,False
2019-01-29,39,False
2019-01-30,32,False
2019-01-31,39,False
2019-02-01,0,False
2019-02-02,0,False
2019-02-03,46,False
2019-02-04,35,False
2019-02-05,48,False
2019-02-06,48,False
2019-02-07,66,False
2019-02-08,0,False
2019-02-09,0,False
2019-02-10,43,False
2019-02-11,38,False
2019-02-12,49,False
2019-02-13,47,False
2019-02-14,44,False
2019-02-15,0,False
2019-02-16,0,False
2019-02-17,0,False
2019-02-18,32,False
2019-02-19,51,False
2019-02-20,0,False
2019-02-21,38,False
2019-02-22,42,False
2019-02-23,53,False
2019-02-24,0,False
2019-02-25,41,False
2019-02-26,42,False
2019-02-27,36,False
2019-02-28,64,False
2019-03-01,0,False
2019-03-02,0,False
2019-03-03,41,False
2019-03-04,67,False
2019-03-05,34,False
2019-03-06,35,False
2019-03-07,0,False
2019-03-08,47,False
2019-03-09,0,False
2019-03-10,0,False
2019-03-11,53,False
2019-03-12,53,False
2019-03-13,32,False
2019-03-14,0,False
2019-03-15,34,False
2019-03-16,0,False
2019-03-17,53,False
2019-03-18,43,False
2019-03-19,63,False
2019-03-20,54,False
2019-03-21,50,False
2019-03-22,60,False
2019-03-23,0,False
2019-03-24,41,False
2019-03-25,0,False
2019-03-26,43,False
2019-03-27,0,False
2019-03-28,46,False
2019-03-29,48,False
2019-03-30,0,False
2019-03-31,0,False
2019-04-01,0,False
2019-04-02,49,False
2019-04-03,0,False
2019-04-04,52,False
2019-04-05,0,False
2019-04-06,89,False
2019-04-07,52,False
2019-04-08,57,False
2019-04-09,41,False
2019-04-10,54,False
