date,Religion,isPartial
2018-12-30,68,False
2018-12-31,54,False
2019-01-01,60,False
2019-01-02,76,False
2019-01-03,64,False
2019-01-04,86,False
2019-01-05,62,False
2019-01-06,58,False
2019-01-07,69,False
2019-01-08,77,False
2019-01-09,63,False
2019-01-10,59,False
2019-01-11,69,False
2019-01-12,83,False
2019-01-13,100,False
2019-01-14,65,False
2019-01-15,62,False
2019-01-16,74,False
2019-01-17,63,False
2019-01-18,64,False
2019-01-19,52,False
2019-01-20,96,False
2019-01-21,57,False
2019-01-22,47,False
2019-01-23,59,False
2019-01-24,54,False
2019-01-25,41,False
2019-01-26,39,False
2019-01-27,68,False
2019-01-28,76,False
2019-01-29,65,False
2019-01-30,62,False
2019-01-31,47,False
2019-02-01,69,False
2019-02-02,45,False
2019-02-03,89,False
2019-02-04,63,False
2019-02-05,59,False
2019-02-06,70,False
2019-02-07,63,False
2019-02-08,73,False
2019-02-09,38,False
2019-02-10,62,False
2019-02-11,76,False
2019-02-12,74,False
2019-02-13,47,False
2019-02-14,52,False
2019-02-15,56,False
2019-02-16,64,False
2019-02-17,98,False
2019-02-18,44,False
2019-02-19,65,False
2019-02-20,58,False
2019-02-21,77,False
2019-02-22,65,False
2019-02-23,69,False
2019-02-24,81,False
2019-02-25,69,False
2019-02-26,58,False
2019-02-27,55,False
2019-02-28,66,False
2019-03-01,76,False
2019-03-02,68,False
2019-03-03,55,False
2019-03-04,48,False
2019-03-05,62,False
2019-03-06,82,False
2019-03-07,75,False
2019-03-08,59,False
2019-03-09,40,False
2019-03-10,65,False
2019-03-11,69,False
2019-03-12,70,False
2019-03-13,80,False
2019-03-14,68,False
2019-03-15,89,False
2019-03-16,67,False
2019-03-17,98,False
2019-03-18,68,False
2019-03-19,79,False
2019-03-20,73,False
2019-03-21,80,False
2019-03-22,67,False
2019-03-23,77,False
2019-03-24,90,False
2019-03-25,56,False
2019-03-26,58,False
2019-03-27,55,False
2019-03-28,60,False
2019-03-29,73,False
2019-03-30,64,False
2019-03-31,76,False
2019-04-01,68,False
2019-04-02,55,False
2019-04-03,66,False
2019-04-04,73,False
2019-04-05,52,False
2019-04-06,44,False
2019-04-07,94,False
2019-04-08,60,False
2019-04-09,74,False
2019-04-10,88,False
