date,Religion,isPartial
2019-12-30,59,False
2019-12-31,37,False
2020-01-01,79,False
2020-01-02,87,False
2020-01-03,73,False
2020-01-04,92,False
2020-01-05,99,False
2020-01-06,79,False
2020-01-07,87,False
2020-01-08,76,False
2020-01-09,55,False
2020-01-10,63,False
2020-01-11,72,False
2020-01-12,84,False
2020-01-13,65,False
2020-01-14,49,False
2020-01-15,65,False
2020-01-16,69,False
2020-01-17,60,False
2020-01-18,67,False
2020-01-19,82,False
2020-01-20,39,False
2020-01-21,60,False
2020-01-22,78,False
2020-01-23,53,False
2020-01-24,62,False
2020-01-25,52,False
2020-01-26,48,False
2020-01-27,58,False
2020-01-28,61,False
2020-01-29,48,False
2020-01-30,77,False
2020-01-31,64,False
2020-02-01,78,False
2020-02-02,84,False
2020-02-03,68,False
2020-02-04,66,False
2020-02-05,40,False
2020-02-06,65,False
2020-02-07,42,False
2020-02-08,59,False
2020-02-09,100,False
2020-02-10,66,False
2020-02-11,45,False
2020-02-12,66,False
2020-02-13,96,False
2020-02-14,62,False
2020-02-15,42,False
2020-02-16,86,False
2020-02-17,51,False
2020-02-18,68,False
2020-02-19,62,False
2020-02-20,58,False
2020-02-21,55,False
2020-02-22,85,False
2020-02-23,71,False
2020-02-24,49,False
2020-02-25,55,False
2020-02-26,47,False
2020-02-27,56,False
2020-02-28,45,False
2020-02-29,76,False
2020-03-01,91,False
2020-03-02,48,False
2020-03-03,48,False
2020-03-04,60,False
2020-03-05,57,False
2020-03-06,48,False
2020-03-07,56,False
2020-03-08,77,False
2020-03-09,63,False
2020-03-10,38,False
2020-03-11,40,False
2020-03-12,60,False
2020-03-13,37,False
2020-03-14,37,False
2020-03-15,46,False
2020-03-16,28,False
2020-03-17,28,False
2020-03-18,38,False
2020-03-19,69,False
2020-03-20,51,False
2020-03-21,58,False
2020-03-22,50,False
2020-03-23,62,False
2020-03-24,58,False
2020-03-25,35,False
2020-03-26,50,False
2020-03-27,54,False
2020-03-28,46,False
2020-03-29,55,False
2020-03-30,61,False
2020-03-31,51,False
2020-04-01,47,False
2020-04-02,61,False
2020-04-03,61,False
2020-04-04,58,False
2020-04-05,75,False
2020-04-06,79,False
2020-04-07,71,False
