date,Religion,isPartial
2018-12-30,67,False
2019-01-06,70,False
2019-01-13,66,False
2019-01-20,60,False
2019-01-27,61,False
2019-02-03,65,False
2019-02-10,61,False
2019-02-17,65,False
2019-02-24,62,False
2019-03-03,62,False
2019-03-10,69,False
2019-03-17,73,False
2019-03-24,62,False
2019-03-31,65,False
2019-04-07,73,False
2019-04-14,64,False
2019-04-21,100,False
2019-04-28,66,False
2019-05-05,74,False
2019-05-12,67,False
2019-05-19,69,False
2019-05-26,61,False
2019-06-02,59,False
2019-06-09,60,False
2019-06-16,58,False
2019-06-23,50,False
2019-06-30,55,False
2019-07-07,52,False
2019-07-14,50,False
2019-07-21,39,False
2019-07-28,51,False
2019-08-04,41,False
2019-08-11,63,False
2019-08-18,51,False
2019-08-25,55,False
2019-09-01,58,False
2019-09-08,51,False
2019-09-15,57,False
2019-09-22,58,False
2019-09-29,64,False
2019-10-06,61,False
2019-10-13,63,False
2019-10-20,66,False
2019-10-27,72,False
2019-11-03,68,False
2019-11-10,71,False
2019-11-17,72,False
2019-11-24,74,False
2019-12-01,68,False
2019-12-08,67,False
2019-12-15,64,False
2019-12-22,83,False
2019-12-29,75,False
2020-01-05,75,False
2020-01-12,73,False
2020-01-19,67,False
2020-01-26,68,False
2020-02-02,67,False
2020-02-09,73,False
2020-02-16,67,False
2020-02-23,63,False
2020-03-01,62,False
2020-03-08,56,False
2020-03-15,49,False
2020-03-22,58,False
2020-03-29,62,False
2020-04-05,73,False
