date,Religion,isPartial
2018-12-30,85,False
2018-12-31,80,False
2019-01-01,81,False
2019-01-02,67,False
2019-01-03,70,False
2019-01-04,71,False
2019-01-05,85,False
2019-01-06,93,False
2019-01-07,66,False
2019-01-08,76,False
2019-01-09,66,False
2019-01-10,68,False
2019-01-11,71,False
2019-01-12,76,False
2019-01-13,85,False
2019-01-14,60,False
2019-01-15,67,False
2019-01-16,71,False
2019-01-17,84,False
2019-01-18,62,False
2019-01-19,77,False
2019-01-20,82,False
2019-01-21,56,False
2019-01-22,57,False
2019-01-23,67,False
2019-01-24,65,False
2019-01-25,63,False
2019-01-26,69,False
2019-01-27,80,False
2019-01-28,68,False
2019-01-29,58,False
2019-01-30,70,False
2019-01-31,59,False
2019-02-01,68,False
2019-02-02,79,False
2019-02-03,81,False
2019-02-04,61,False
2019-02-05,67,False
2019-02-06,62,False
2019-02-07,78,False
2019-02-08,65,False
2019-02-09,81,False
2019-02-10,90,False
2019-02-11,84,False
2019-02-12,70,False
2019-02-13,67,False
2019-02-14,67,False
2019-02-15,63,False
2019-02-16,81,False
2019-02-17,82,False
2019-02-18,64,False
2019-02-19,100,False
2019-02-20,76,False
2019-02-21,71,False
2019-02-22,71,False
2019-02-23,79,False
2019-02-24,93,False
2019-02-25,61,False
2019-02-26,78,False
2019-02-27,82,False
2019-02-28,67,False
2019-03-01,63,False
2019-03-02,78,False
2019-03-03,80,False
2019-03-04,65,False
2019-03-05,72,False
2019-03-06,77,False
2019-03-07,63,False
2019-03-08,68,False
2019-03-09,83,False
2019-03-10,90,False
2019-03-11,64,False
2019-03-12,65,False
2019-03-13,69,False
2019-03-14,65,False
2019-03-15,96,False
2019-03-16,80,False
2019-03-17,82,False
2019-03-18,69,False
2019-03-19,78,False
2019-03-20,80,False
2019-03-21,69,False
2019-03-22,88,False
2019-03-23,83,False
2019-03-24,100,False
2019-03-25,77,False
2019-03-26,62,False
2019-03-27,57,False
2019-03-28,67,False
2019-03-29,68,False
2019-03-30,74,False
2019-03-31,85,False
2019-04-01,79,False
2019-04-02,62,False
2019-04-03,60,False
2019-04-04,67,False
2019-04-05,69,False
2019-04-06,83,False
2019-04-07,85,False
2019-04-08,67,False
2019-04-09,66,False
2019-04-10,67,False
