date,Religión,isPartial
2018-12-30,49,False
2019-01-06,54,False
2019-01-13,57,False
2019-01-20,62,False
2019-01-27,57,False
2019-02-03,66,False
2019-02-10,70,False
2019-02-17,59,False
2019-02-24,63,False
2019-03-03,63,False
2019-03-10,64,False
2019-03-17,66,False
2019-03-24,62,False
2019-03-31,57,False
2019-04-07,53,False
2019-04-14,56,False
2019-04-21,68,False
2019-04-28,61,False
2019-05-05,65,False
2019-05-12,67,False
2019-05-19,59,False
2019-05-26,59,False
2019-06-02,67,False
2019-06-09,63,False
2019-06-16,52,False
2019-06-23,47,False
2019-06-30,47,False
2019-07-07,49,False
2019-07-14,47,False
2019-07-21,46,False
2019-07-28,42,False
2019-08-04,45,False
2019-08-11,46,False
2019-08-18,45,False
2019-08-25,51,False
2019-09-01,53,False
2019-09-08,59,False
2019-09-15,73,False
2019-09-22,70,False
2019-09-29,77,False
2019-10-06,81,False
2019-10-13,71,False
2019-10-20,72,False
2019-10-27,66,False
2019-11-03,74,False
2019-11-10,72,False
2019-11-17,78,False
2019-11-24,68,False
2019-12-01,59,False
2019-12-08,68,False
2019-12-15,52,False
2019-12-22,55,False
2019-12-29,64,False
2020-01-05,64,False
2020-01-12,74,False
2020-01-19,69,False
2020-01-26,68,False
2020-02-02,67,False
2020-02-09,68,False
2020-02-16,72,False
2020-02-23,68,False
2020-03-01,76,False
2020-03-08,58,False
2020-03-15,86,False
2020-03-22,90,False
2020-03-29,100,False
2020-04-05,95,False
