date,Religie,isPartial
2019-12-30,31,False
2019-12-31,0,False
2020-01-01,0,False
2020-01-02,0,False
2020-01-03,43,False
2020-01-04,38,False
2020-01-05,34,False
2020-01-06,50,False
2020-01-07,54,False
2020-01-08,38,False
2020-01-09,37,False
2020-01-10,42,False
2020-01-11,0,False
2020-01-12,59,False
2020-01-13,42,False
2020-01-14,46,False
2020-01-15,41,False
2020-01-16,32,False
2020-01-17,68,False
2020-01-18,0,False
2020-01-19,35,False
2020-01-20,43,False
2020-01-21,44,False
2020-01-22,36,False
2020-01-23,41,False
2020-01-24,0,False
2020-01-25,0,False
2020-01-26,63,False
2020-01-27,41,False
2020-01-28,52,False
2020-01-29,64,False
2020-01-30,51,False
2020-01-31,30,False
2020-02-01,0,False
2020-02-02,41,False
2020-02-03,45,False
2020-02-04,43,False
2020-02-05,50,False
2020-02-06,50,False
2020-02-07,39,False
2020-02-08,44,False
2020-02-09,33,False
2020-02-10,33,False
2020-02-11,48,False
2020-02-12,54,False
2020-02-13,45,False
2020-02-14,52,False
2020-02-15,46,False
2020-02-16,42,False
2020-02-17,44,False
2020-02-18,0,False
2020-02-19,51,False
2020-02-20,0,False
2020-02-21,32,False
2020-02-22,52,False
2020-02-23,53,False
2020-02-24,31,False
2020-02-25,30,False
2020-02-26,53,False
2020-02-27,31,False
2020-02-28,0,False
2020-02-29,31,False
2020-03-01,50,False
2020-03-02,0,False
2020-03-03,42,False
2020-03-04,43,False
2020-03-05,42,False
2020-03-06,29,False
2020-03-07,0,False
2020-03-08,33,False
2020-03-09,27,False
2020-03-10,100,False
2020-03-11,33,False
2020-03-12,32,False
2020-03-13,0,False
2020-03-14,0,False
2020-03-15,0,False
2020-03-16,0,False
2020-03-17,40,False
2020-03-18,39,False
2020-03-19,43,False
2020-03-20,39,False
2020-03-21,0,False
2020-03-22,36,False
2020-03-23,0,False
2020-03-24,50,False
2020-03-25,52,False
2020-03-26,42,False
2020-03-27,52,False
2020-03-28,34,False
2020-03-29,50,False
2020-03-30,52,False
2020-03-31,36,False
2020-04-01,57,False
2020-04-02,33,False
2020-04-03,58,False
2020-04-04,33,False
2020-04-05,36,False
2020-04-06,38,False
2020-04-07,30,False
