date,Religión,isPartial
2019-12-30,55,False
2019-12-31,63,False
2020-01-01,62,False
2020-01-02,56,False
2020-01-03,0,False
2020-01-04,59,False
2020-01-05,59,False
2020-01-06,50,False
2020-01-07,58,False
2020-01-08,68,False
2020-01-09,60,False
2020-01-10,39,False
2020-01-11,44,False
2020-01-12,66,False
2020-01-13,63,False
2020-01-14,70,False
2020-01-15,67,False
2020-01-16,78,False
2020-01-17,52,False
2020-01-18,56,False
2020-01-19,47,False
2020-01-20,69,False
2020-01-21,52,False
2020-01-22,70,False
2020-01-23,51,False
2020-01-24,60,False
2020-01-25,46,False
2020-01-26,64,False
2020-01-27,62,False
2020-01-28,64,False
2020-01-29,51,False
2020-01-30,42,False
2020-01-31,55,False
2020-02-01,48,False
2020-02-02,72,False
2020-02-03,73,False
2020-02-04,68,False
2020-02-05,49,False
2020-02-06,31,False
2020-02-07,50,False
2020-02-08,48,False
2020-02-09,55,False
2020-02-10,46,False
2020-02-11,52,False
2020-02-12,80,False
2020-02-13,58,False
2020-02-14,66,False
2020-02-15,44,False
2020-02-16,65,False
2020-02-17,75,False
2020-02-18,63,False
2020-02-19,56,False
2020-02-20,71,False
2020-02-21,48,False
2020-02-22,49,False
2020-02-23,62,False
2020-02-24,68,False
2020-02-25,60,False
2020-02-26,55,False
2020-02-27,46,False
2020-02-28,54,False
2020-02-29,46,False
2020-03-01,50,False
2020-03-02,55,False
2020-03-03,88,False
2020-03-04,71,False
2020-03-05,79,False
2020-03-06,51,False
2020-03-07,48,False
2020-03-08,50,False
2020-03-09,59,False
2020-03-10,59,False
2020-03-11,50,False
2020-03-12,34,False
2020-03-13,50,False
2020-03-14,42,False
2020-03-15,57,False
2020-03-16,67,False
2020-03-17,80,False
2020-03-18,88,False
2020-03-19,84,False
2020-03-20,80,False
2020-03-21,84,False
2020-03-22,79,False
2020-03-23,92,False
2020-03-24,90,False
2020-03-25,81,False
2020-03-26,80,False
2020-03-27,72,False
2020-03-28,55,False
2020-03-29,71,False
2020-03-30,90,False
2020-03-31,84,False
2020-04-01,100,False
2020-04-02,97,False
2020-04-03,87,False
2020-04-04,76,False
2020-04-05,82,False
2020-04-06,75,False
2020-04-07,85,False
