date,Religione,isPartial
2018-12-30,99,False
2018-12-31,66,False
2019-01-01,63,False
2019-01-02,68,False
2019-01-03,66,False
2019-01-04,69,False
2019-01-05,71,False
2019-01-06,94,False
2019-01-07,77,False
2019-01-08,83,False
2019-01-09,76,False
2019-01-10,80,False
2019-01-11,73,False
2019-01-12,63,False
2019-01-13,72,False
2019-01-14,84,False
2019-01-15,79,False
2019-01-16,87,False
2019-01-17,87,False
2019-01-18,74,False
2019-01-19,63,False
2019-01-20,82,False
2019-01-21,70,False
2019-01-22,70,False
2019-01-23,71,False
2019-01-24,80,False
2019-01-25,74,False
2019-01-26,56,False
2019-01-27,100,False
2019-01-28,76,False
2019-01-29,72,False
2019-01-30,77,False
2019-01-31,63,False
2019-02-01,57,False
2019-02-02,56,False
2019-02-03,61,False
2019-02-04,79,False
2019-02-05,78,False
2019-02-06,76,False
2019-02-07,76,False
2019-02-08,62,False
2019-02-09,72,False
2019-02-10,64,False
2019-02-11,61,False
2019-02-12,65,False
2019-02-13,76,False
2019-02-14,78,False
2019-02-15,76,False
2019-02-16,85,False
2019-02-17,88,False
2019-02-18,90,False
2019-02-19,87,False
2019-02-20,81,False
2019-02-21,76,False
2019-02-22,77,False
2019-02-23,66,False
2019-02-24,68,False
2019-02-25,58,False
2019-02-26,67,False
2019-02-27,70,False
2019-02-28,69,False
2019-03-01,61,False
2019-03-02,58,False
2019-03-03,62,False
2019-03-04,58,False
2019-03-05,56,False
2019-03-06,67,False
2019-03-07,56,False
2019-03-08,50,False
2019-03-09,62,False
2019-03-10,57,False
2019-03-11,67,False
2019-03-12,76,False
2019-03-13,70,False
2019-03-14,67,False
2019-03-15,65,False
2019-03-16,74,False
2019-03-17,67,False
2019-03-18,73,False
2019-03-19,71,False
2019-03-20,76,False
2019-03-21,61,False
2019-03-22,65,False
2019-03-23,63,False
2019-03-24,76,False
2019-03-25,64,False
2019-03-26,66,False
2019-03-27,65,False
2019-03-28,63,False
2019-03-29,71,False
2019-03-30,57,False
2019-03-31,66,False
2019-04-01,69,False
2019-04-02,68,False
2019-04-03,73,False
2019-04-04,70,False
2019-04-05,59,False
2019-04-06,54,False
2019-04-07,70,False
2019-04-08,60,False
2019-04-09,64,False
2019-04-10,70,False
