date,Religión,isPartial
2018-12-30,52,False
2018-12-31,0,False
2019-01-01,43,False
2019-01-02,81,False
2019-01-03,64,False
2019-01-04,52,False
2019-01-05,58,False
2019-01-06,66,False
2019-01-07,56,False
2019-01-08,39,False
2019-01-09,62,False
2019-01-10,65,False
2019-01-11,66,False
2019-01-12,79,False
2019-01-13,77,False
2019-01-14,52,False
2019-01-15,74,False
2019-01-16,74,False
2019-01-17,73,False
2019-01-18,49,False
2019-01-19,83,False
2019-01-20,82,False
2019-01-21,92,False
2019-01-22,50,False
2019-01-23,75,False
2019-01-24,77,False
2019-01-25,57,False
2019-01-26,51,False
2019-01-27,63,False
2019-01-28,69,False
2019-01-29,65,False
2019-01-30,72,False
2019-01-31,68,False
2019-02-01,61,False
2019-02-02,0,False
2019-02-03,54,False
2019-02-04,86,False
2019-02-05,77,False
2019-02-06,83,False
2019-02-07,94,False
2019-02-08,42,False
2019-02-09,74,False
2019-02-10,48,False
2019-02-11,76,False
2019-02-12,91,False
2019-02-13,79,False
2019-02-14,72,False
2019-02-15,61,False
2019-02-16,90,False
2019-02-17,45,False
2019-02-18,61,False
2019-02-19,89,False
2019-02-20,65,False
2019-02-21,90,False
2019-02-22,52,False
2019-02-23,52,False
2019-02-24,78,False
2019-02-25,78,False
2019-02-26,77,False
2019-02-27,99,False
2019-02-28,45,False
2019-03-01,49,False
2019-03-02,81,False
2019-03-03,45,False
2019-03-04,76,False
2019-03-05,78,False
2019-03-06,72,False
2019-03-07,79,False
2019-03-08,57,False
2019-03-09,59,False
2019-03-10,89,False
2019-03-11,61,False
2019-03-12,78,False
2019-03-13,57,False
2019-03-14,74,False
2019-03-15,64,False
2019-03-16,75,False
2019-03-17,77,False
2019-03-18,75,False
2019-03-19,97,False
2019-03-20,75,False
2019-03-21,100,False
2019-03-22,76,False
2019-03-23,66,False
2019-03-24,97,False
2019-03-25,66,False
2019-03-26,81,False
2019-03-27,59,False
2019-03-28,78,False
2019-03-29,51,False
2019-03-30,43,False
2019-03-31,57,False
2019-04-01,58,False
2019-04-02,75,False
2019-04-03,63,False
2019-04-04,67,False
2019-04-05,65,False
2019-04-06,58,False
2019-04-07,59,False
2019-04-08,60,False
2019-04-09,62,False
2019-04-10,47,False
