Categoría: Ciencias ocultas y paranormales

Semana,Geo: Portugal
2018-12-30,47
2019-01-06,43
2019-01-13,45
2019-01-20,42
2019-01-27,42
2019-02-03,41
2019-02-10,45
2019-02-17,48
2019-02-24,47
2019-03-03,42
2019-03-10,36
2019-03-17,42
2019-03-24,42
2019-03-31,44
2019-04-07,39
2019-04-14,52
2019-04-21,44
2019-04-28,38
2019-05-05,43
2019-05-12,46
2019-05-19,51
2019-05-26,44
2019-06-02,46
2019-06-09,43
2019-06-16,48
2019-06-23,50
2019-06-30,47
2019-07-07,61
2019-07-14,100
2019-07-21,58
2019-07-28,55
2019-08-04,54
2019-08-11,54
2019-08-18,50
2019-08-25,47
2019-09-01,45
2019-09-08,47
2019-09-15,79
2019-09-22,47
2019-09-29,44
2019-10-06,48
2019-10-13,52
2019-10-20,51
2019-10-27,60
2019-11-03,46
2019-11-10,49
2019-11-17,44
2019-11-24,41
2019-12-01,41
2019-12-08,43
2019-12-15,48
2019-12-22,45
2019-12-29,48
2020-01-05,46
2020-01-12,45
2020-01-19,45
2020-01-26,46
2020-02-02,45
2020-02-09,46
2020-02-16,49
2020-02-23,44
2020-03-01,46
2020-03-08,46
2020-03-15,82
2020-03-22,58
2020-03-29,60
2020-04-05,70
