Categoría: Ciencias ocultas y paranormales

Día,Geo: Reino Unido
2018-12-30,87
2018-12-31,80
2019-01-01,100
2019-01-02,80
2019-01-03,83
2019-01-04,79
2019-01-05,85
2019-01-06,97
2019-01-07,73
2019-01-08,73
2019-01-09,77
2019-01-10,82
2019-01-11,75
2019-01-12,88
2019-01-13,93
2019-01-14,71
2019-01-15,75
2019-01-16,77
2019-01-17,79
2019-01-18,78
2019-01-19,87
2019-01-20,86
2019-01-21,74
2019-01-22,74
2019-01-23,69
2019-01-24,70
2019-01-25,73
2019-01-26,87
2019-01-27,90
2019-01-28,72
2019-01-29,71
2019-01-30,69
2019-01-31,69
2019-02-01,76
2019-02-02,83
2019-02-03,91
2019-02-04,72
2019-02-05,74
2019-02-06,74
2019-02-07,75
2019-02-08,79
2019-02-09,80
2019-02-10,81
2019-02-11,69
2019-02-12,68
2019-02-13,68
2019-02-14,74
2019-02-15,79
2019-02-16,84
2019-02-17,93
2019-02-18,76
2019-02-19,69
2019-02-20,68
2019-02-21,71
2019-02-22,76
2019-02-23,82
2019-02-24,83
2019-02-25,71
2019-02-26,71
2019-02-27,68
2019-02-28,68
2019-03-01,73
2019-03-02,85
2019-03-03,89
2019-03-04,73
2019-03-05,75
2019-03-06,70
2019-03-07,70
2019-03-08,68
2019-03-09,85
2019-03-10,88
2019-03-11,69
2019-03-12,69
2019-03-13,64
2019-03-14,66
2019-03-15,68
2019-03-16,79
2019-03-17,84
2019-03-18,73
2019-03-19,68
2019-03-20,69
2019-03-21,67
2019-03-22,72
2019-03-23,82
2019-03-24,82
2019-03-25,69
2019-03-26,69
2019-03-27,74
2019-03-28,69
2019-03-29,71
2019-03-30,79
2019-03-31,83
2019-04-01,71
2019-04-02,72
2019-04-03,68
2019-04-04,71
2019-04-05,74
2019-04-06,86
2019-04-07,93
2019-04-08,77
2019-04-09,71
2019-04-10,77
