Categoría: Escépticos y no creyentes

Semana,Geo: Suiza
2018-12-30,43
2019-01-06,50
2019-01-13,49
2019-01-20,45
2019-01-27,44
2019-02-03,47
2019-02-10,44
2019-02-17,51
2019-02-24,100
2019-03-03,56
2019-03-10,46
2019-03-17,47
2019-03-24,40
2019-03-31,46
2019-04-07,48
2019-04-14,39
2019-04-21,40
2019-04-28,45
2019-05-05,42
2019-05-12,44
2019-05-19,46
2019-05-26,38
2019-06-02,47
2019-06-09,45
2019-06-16,40
2019-06-23,35
2019-06-30,35
2019-07-07,29
2019-07-14,37
2019-07-21,28
2019-07-28,34
2019-08-04,34
2019-08-11,35
2019-08-18,41
2019-08-25,40
2019-09-01,41
2019-09-08,38
2019-09-15,42
2019-09-22,42
2019-09-29,37
2019-10-06,39
2019-10-13,45
2019-10-20,42
2019-10-27,45
2019-11-03,45
2019-11-10,42
2019-11-17,47
2019-11-24,43
2019-12-01,44
2019-12-08,53
2019-12-15,51
2019-12-22,38
2019-12-29,47
2020-01-05,47
2020-01-12,44
2020-01-19,43
2020-01-26,44
2020-02-02,43
2020-02-09,40
2020-02-16,44
2020-02-23,40
2020-03-01,43
2020-03-08,42
2020-03-15,39
2020-03-22,46
2020-03-29,50
2020-04-05,41
