Categoría: Escépticos y no creyentes

Día,Geo: España
2018-12-30,59
2018-12-31,43
2019-01-01,45
2019-01-02,51
2019-01-03,44
2019-01-04,49
2019-01-05,45
2019-01-06,44
2019-01-07,47
2019-01-08,51
2019-01-09,56
2019-01-10,59
2019-01-11,66
2019-01-12,63
2019-01-13,55
2019-01-14,57
2019-01-15,62
2019-01-16,62
2019-01-17,62
2019-01-18,57
2019-01-19,55
2019-01-20,64
2019-01-21,57
2019-01-22,72
2019-01-23,61
2019-01-24,61
2019-01-25,54
2019-01-26,51
2019-01-27,54
2019-01-28,58
2019-01-29,56
2019-01-30,68
2019-01-31,53
2019-02-01,57
2019-02-02,53
2019-02-03,56
2019-02-04,100
2019-02-05,74
2019-02-06,64
2019-02-07,61
2019-02-08,76
2019-02-09,84
2019-02-10,82
2019-02-11,75
2019-02-12,78
2019-02-13,74
2019-02-14,70
2019-02-15,59
2019-02-16,59
2019-02-17,71
2019-02-18,71
2019-02-19,71
2019-02-20,59
2019-02-21,62
2019-02-22,62
2019-02-23,51
2019-02-24,64
2019-02-25,66
2019-02-26,59
2019-02-27,63
2019-02-28,63
2019-03-01,56
2019-03-02,56
2019-03-03,47
2019-03-04,57
2019-03-05,61
2019-03-06,66
2019-03-07,63
2019-03-08,59
2019-03-09,57
2019-03-10,61
2019-03-11,59
2019-03-12,65
2019-03-13,63
2019-03-14,62
2019-03-15,63
2019-03-16,64
2019-03-17,60
2019-03-18,61
2019-03-19,64
2019-03-20,64
2019-03-21,73
2019-03-22,60
2019-03-23,57
2019-03-24,60
2019-03-25,66
2019-03-26,55
2019-03-27,64
2019-03-28,62
2019-03-29,56
2019-03-30,55
2019-03-31,57
2019-04-01,69
2019-04-02,68
2019-04-03,65
2019-04-04,57
2019-04-05,62
2019-04-06,57
2019-04-07,57
2019-04-08,63
2019-04-09,63
2019-04-10,63
