Categoría: Escépticos y no creyentes

Día,Geo: Francia
2018-12-30,77
2018-12-31,67
2019-01-01,70
2019-01-02,84
2019-01-03,80
2019-01-04,77
2019-01-05,77
2019-01-06,83
2019-01-07,82
2019-01-08,78
2019-01-09,83
2019-01-10,81
2019-01-11,75
2019-01-12,75
2019-01-13,73
2019-01-14,77
2019-01-15,75
2019-01-16,81
2019-01-17,78
2019-01-18,74
2019-01-19,73
2019-01-20,83
2019-01-21,75
2019-01-22,73
2019-01-23,80
2019-01-24,76
2019-01-25,73
2019-01-26,69
2019-01-27,87
2019-01-28,78
2019-01-29,73
2019-01-30,80
2019-01-31,74
2019-02-01,80
2019-02-02,71
2019-02-03,75
2019-02-04,75
2019-02-05,76
2019-02-06,84
2019-02-07,72
2019-02-08,69
2019-02-09,64
2019-02-10,76
2019-02-11,70
2019-02-12,69
2019-02-13,73
2019-02-14,72
2019-02-15,71
2019-02-16,78
2019-02-17,72
2019-02-18,73
2019-02-19,100
2019-02-20,79
2019-02-21,81
2019-02-22,64
2019-02-23,62
2019-02-24,70
2019-02-25,73
2019-02-26,71
2019-02-27,72
2019-02-28,68
2019-03-01,73
2019-03-02,74
2019-03-03,70
2019-03-04,84
2019-03-05,81
2019-03-06,77
2019-03-07,69
2019-03-08,78
2019-03-09,77
2019-03-10,82
2019-03-11,76
2019-03-12,71
2019-03-13,76
2019-03-14,74
2019-03-15,70
2019-03-16,73
2019-03-17,86
2019-03-18,88
2019-03-19,73
2019-03-20,74
2019-03-21,76
2019-03-22,69
2019-03-23,79
2019-03-24,83
2019-03-25,79
2019-03-26,100
2019-03-27,88
2019-03-28,81
2019-03-29,75
2019-03-30,63
2019-03-31,68
2019-04-01,76
2019-04-02,67
2019-04-03,76
2019-04-04,68
2019-04-05,74
2019-04-06,73
2019-04-07,80
2019-04-08,70
2019-04-09,66
2019-04-10,74
