Categoría: Escépticos y no creyentes

Día,Geo: Portugal
2018-12-30,43
2018-12-31,0
2019-01-01,34
2019-01-02,22
2019-01-03,24
2019-01-04,35
2019-01-05,46
2019-01-06,44
2019-01-07,23
2019-01-08,35
2019-01-09,33
2019-01-10,35
2019-01-11,33
2019-01-12,27
2019-01-13,34
2019-01-14,48
2019-01-15,28
2019-01-16,38
2019-01-17,34
2019-01-18,0
2019-01-19,36
2019-01-20,25
2019-01-21,39
2019-01-22,42
2019-01-23,27
2019-01-24,44
2019-01-25,39
2019-01-26,0
2019-01-27,31
2019-01-28,42
2019-01-29,36
2019-01-30,37
2019-01-31,34
2019-02-01,37
2019-02-02,30
2019-02-03,28
2019-02-04,30
2019-02-05,32
2019-02-06,36
2019-02-07,34
2019-02-08,41
2019-02-09,44
2019-02-10,31
2019-02-11,37
2019-02-12,43
2019-02-13,32
2019-02-14,39
2019-02-15,0
2019-02-16,31
2019-02-17,53
2019-02-18,38
2019-02-19,100
2019-02-20,30
2019-02-21,36
2019-02-22,25
2019-02-23,0
2019-02-24,43
2019-02-25,39
2019-02-26,33
2019-02-27,25
2019-02-28,28
2019-03-01,0
2019-03-02,0
2019-03-03,36
2019-03-04,28
2019-03-05,24
2019-03-06,31
2019-03-07,28
2019-03-08,23
2019-03-09,40
2019-03-10,45
2019-03-11,27
2019-03-12,31
2019-03-13,30
2019-03-14,37
2019-03-15,0
2019-03-16,0
2019-03-17,33
2019-03-18,23
2019-03-19,22
2019-03-20,47
2019-03-21,38
2019-03-22,39
2019-03-23,37
2019-03-24,43
2019-03-25,37
2019-03-26,34
2019-03-27,49
2019-03-28,31
2019-03-29,40
2019-03-30,32
2019-03-31,27
2019-04-01,35
2019-04-02,36
2019-04-03,27
2019-04-04,37
2019-04-05,40
2019-04-06,25
2019-04-07,50
2019-04-08,25
2019-04-09,36
2019-04-10,23
