Categoría: Escépticos y no creyentes

Día,Geo: Reino Unido
2018-12-30,57
2018-12-31,46
2019-01-01,52
2019-01-02,59
2019-01-03,57
2019-01-04,55
2019-01-05,66
2019-01-06,51
2019-01-07,60
2019-01-08,55
2019-01-09,60
2019-01-10,56
2019-01-11,76
2019-01-12,74
2019-01-13,56
2019-01-14,59
2019-01-15,73
2019-01-16,67
2019-01-17,53
2019-01-18,58
2019-01-19,57
2019-01-20,61
2019-01-21,60
2019-01-22,58
2019-01-23,57
2019-01-24,52
2019-01-25,56
2019-01-26,72
2019-01-27,66
2019-01-28,65
2019-01-29,56
2019-01-30,57
2019-01-31,57
2019-02-01,58
2019-02-02,58
2019-02-03,56
2019-02-04,60
2019-02-05,80
2019-02-06,62
2019-02-07,56
2019-02-08,62
2019-02-09,61
2019-02-10,57
2019-02-11,57
2019-02-12,54
2019-02-13,69
2019-02-14,56
2019-02-15,56
2019-02-16,58
2019-02-17,73
2019-02-18,55
2019-02-19,57
2019-02-20,65
2019-02-21,90
2019-02-22,72
2019-02-23,63
2019-02-24,65
2019-02-25,53
2019-02-26,60
2019-02-27,53
2019-02-28,60
2019-03-01,62
2019-03-02,62
2019-03-03,67
2019-03-04,61
2019-03-05,54
2019-03-06,62
2019-03-07,58
2019-03-08,58
2019-03-09,61
2019-03-10,53
2019-03-11,56
2019-03-12,60
2019-03-13,55
2019-03-14,54
2019-03-15,57
2019-03-16,55
2019-03-17,61
2019-03-18,53
2019-03-19,54
2019-03-20,54
2019-03-21,55
2019-03-22,100
2019-03-23,83
2019-03-24,52
2019-03-25,56
2019-03-26,59
2019-03-27,63
2019-03-28,53
2019-03-29,53
2019-03-30,52
2019-03-31,50
2019-04-01,54
2019-04-02,52
2019-04-03,59
2019-04-04,48
2019-04-05,55
2019-04-06,52
2019-04-07,49
2019-04-08,55
2019-04-09,55
2019-04-10,54
