Categoría: Escépticos y no creyentes

Día,Geo: Alemania
2018-12-30,62
2018-12-31,47
2019-01-01,58
2019-01-02,68
2019-01-03,66
2019-01-04,66
2019-01-05,65
2019-01-06,76
2019-01-07,88
2019-01-08,85
2019-01-09,86
2019-01-10,80
2019-01-11,68
2019-01-12,62
2019-01-13,73
2019-01-14,76
2019-01-15,78
2019-01-16,84
2019-01-17,82
2019-01-18,70
2019-01-19,65
2019-01-20,70
2019-01-21,83
2019-01-22,83
2019-01-23,84
2019-01-24,85
2019-01-25,65
2019-01-26,61
2019-01-27,75
2019-01-28,87
2019-01-29,88
2019-01-30,86
2019-01-31,78
2019-02-01,71
2019-02-02,66
2019-02-03,71
2019-02-04,86
2019-02-05,82
2019-02-06,78
2019-02-07,80
2019-02-08,70
2019-02-09,64
2019-02-10,71
2019-02-11,84
2019-02-12,78
2019-02-13,80
2019-02-14,79
2019-02-15,66
2019-02-16,56
2019-02-17,67
2019-02-18,81
2019-02-19,80
2019-02-20,79
2019-02-21,81
2019-02-22,69
2019-02-23,55
2019-02-24,68
2019-02-25,100
2019-02-26,86
2019-02-27,80
2019-02-28,72
2019-03-01,61
2019-03-02,66
2019-03-03,67
2019-03-04,70
2019-03-05,80
2019-03-06,69
2019-03-07,74
2019-03-08,65
2019-03-09,63
2019-03-10,72
2019-03-11,79
2019-03-12,71
2019-03-13,71
2019-03-14,79
2019-03-15,68
2019-03-16,59
2019-03-17,74
2019-03-18,82
2019-03-19,73
2019-03-20,80
2019-03-21,68
2019-03-22,67
2019-03-23,57
2019-03-24,63
2019-03-25,78
2019-03-26,82
2019-03-27,70
2019-03-28,76
2019-03-29,69
2019-03-30,57
2019-03-31,62
2019-04-01,72
2019-04-02,73
2019-04-03,80
2019-04-04,69
2019-04-05,67
2019-04-06,56
2019-04-07,65
2019-04-08,68
2019-04-09,79
2019-04-10,71
