Categoría: Escépticos y no creyentes

Día,Geo: Bélgica
2018-12-30,31
2018-12-31,34
2019-01-01,25
2019-01-02,38
2019-01-03,31
2019-01-04,32
2019-01-05,42
2019-01-06,50
2019-01-07,32
2019-01-08,46
2019-01-09,39
2019-01-10,36
2019-01-11,52
2019-01-12,43
2019-01-13,38
2019-01-14,100
2019-01-15,69
2019-01-16,44
2019-01-17,46
2019-01-18,48
2019-01-19,38
2019-01-20,37
2019-01-21,46
2019-01-22,35
2019-01-23,36
2019-01-24,38
2019-01-25,43
2019-01-26,39
2019-01-27,40
2019-01-28,49
2019-01-29,36
2019-01-30,37
2019-01-31,41
2019-02-01,31
2019-02-02,29
2019-02-03,38
2019-02-04,42
2019-02-05,37
2019-02-06,40
2019-02-07,34
2019-02-08,35
2019-02-09,32
2019-02-10,31
2019-02-11,26
2019-02-12,36
2019-02-13,42
2019-02-14,38
2019-02-15,30
2019-02-16,22
2019-02-17,24
2019-02-18,42
2019-02-19,45
2019-02-20,31
2019-02-21,35
2019-02-22,31
2019-02-23,29
2019-02-24,35
2019-02-25,38
2019-02-26,14
2019-02-27,36
2019-02-28,39
2019-03-01,29
2019-03-02,36
2019-03-03,34
2019-03-04,36
2019-03-05,27
2019-03-06,27
2019-03-07,44
2019-03-08,32
2019-03-09,28
2019-03-10,31
2019-03-11,27
2019-03-12,39
2019-03-13,33
2019-03-14,32
2019-03-15,40
2019-03-16,36
2019-03-17,45
2019-03-18,35
2019-03-19,37
2019-03-20,39
2019-03-21,34
2019-03-22,32
2019-03-23,32
2019-03-24,40
2019-03-25,32
2019-03-26,41
2019-03-27,47
2019-03-28,35
2019-03-29,41
2019-03-30,30
2019-03-31,44
2019-04-01,44
2019-04-02,36
2019-04-03,27
2019-04-04,30
2019-04-05,39
2019-04-06,25
2019-04-07,29
2019-04-08,38
2019-04-09,38
2019-04-10,31
