Categoría: Escépticos y no creyentes

Semana,Geo: Alemania
2018-12-30,69
2019-01-06,90
2019-01-13,89
2019-01-20,93
2019-01-27,93
2019-02-03,93
2019-02-10,87
2019-02-17,85
2019-02-24,93
2019-03-03,85
2019-03-10,85
2019-03-17,80
2019-03-24,84
2019-03-31,81
2019-04-07,82
2019-04-14,83
2019-04-21,77
2019-04-28,85
2019-05-05,92
2019-05-12,83
2019-05-19,86
2019-05-26,73
2019-06-02,83
2019-06-09,69
2019-06-16,69
2019-06-23,74
2019-06-30,78
2019-07-07,79
2019-07-14,76
2019-07-21,68
2019-07-28,66
2019-08-04,65
2019-08-11,70
2019-08-18,71
2019-08-25,78
2019-09-01,73
2019-09-08,82
2019-09-15,69
2019-09-22,80
2019-09-29,74
2019-10-06,78
2019-10-13,92
2019-10-20,94
2019-10-27,88
2019-11-03,90
2019-11-10,96
2019-11-17,98
2019-11-24,88
2019-12-01,84
2019-12-08,84
2019-12-15,88
2019-12-22,62
2019-12-29,67
2020-01-05,86
2020-01-12,91
2020-01-19,91
2020-01-26,96
2020-02-02,100
2020-02-09,88
2020-02-16,78
2020-02-23,82
2020-03-01,89
2020-03-08,84
2020-03-15,88
2020-03-22,88
2020-03-29,90
2020-04-05,79
