Categoría: Todas las categorías

Semana,Religión: (Suiza)
2018-12-30,72
2019-01-06,73
2019-01-13,72
2019-01-20,61
2019-01-27,68
2019-02-03,69
2019-02-10,65
2019-02-17,68
2019-02-24,68
2019-03-03,71
2019-03-10,78
2019-03-17,78
2019-03-24,69
2019-03-31,71
2019-04-07,69
2019-04-14,75
2019-04-21,100
2019-04-28,69
2019-05-05,80
2019-05-12,72
2019-05-19,71
2019-05-26,70
2019-06-02,69
2019-06-09,65
2019-06-16,65
2019-06-23,60
2019-06-30,59
2019-07-07,58
2019-07-14,55
2019-07-21,49
2019-07-28,52
2019-08-04,50
2019-08-11,69
2019-08-18,61
2019-08-25,63
2019-09-01,63
2019-09-08,64
2019-09-15,68
2019-09-22,69
2019-09-29,69
2019-10-06,68
2019-10-13,67
2019-10-20,76
2019-10-27,76
2019-11-03,77
2019-11-10,73
2019-11-17,74
2019-11-24,80
2019-12-01,70
2019-12-08,81
2019-12-15,69
2019-12-22,80
2019-12-29,80
2020-01-05,83
2020-01-12,76
2020-01-19,75
2020-01-26,70
2020-02-02,71
2020-02-09,71
2020-02-16,72
2020-02-23,67
2020-03-01,70
2020-03-08,70
2020-03-15,57
2020-03-22,73
2020-03-29,76
2020-04-05,87
