Categoría: Todas las categorías

Día,Religión: (Francia)
2018-12-30,81
2018-12-31,76
2019-01-01,78
2019-01-02,70
2019-01-03,62
2019-01-04,68
2019-01-05,78
2019-01-06,86
2019-01-07,73
2019-01-08,70
2019-01-09,65
2019-01-10,76
2019-01-11,65
2019-01-12,70
2019-01-13,83
2019-01-14,64
2019-01-15,67
2019-01-16,71
2019-01-17,77
2019-01-18,62
2019-01-19,68
2019-01-20,79
2019-01-21,61
2019-01-22,67
2019-01-23,67
2019-01-24,63
2019-01-25,62
2019-01-26,70
2019-01-27,73
2019-01-28,65
2019-01-29,60
2019-01-30,64
2019-01-31,62
2019-02-01,65
2019-02-02,75
2019-02-03,81
2019-02-04,66
2019-02-05,68
2019-02-06,64
2019-02-07,76
2019-02-08,65
2019-02-09,80
2019-02-10,78
2019-02-11,78
2019-02-12,64
2019-02-13,62
2019-02-14,68
2019-02-15,70
2019-02-16,71
2019-02-17,79
2019-02-18,68
2019-02-19,85
2019-02-20,76
2019-02-21,73
2019-02-22,68
2019-02-23,77
2019-02-24,86
2019-02-25,61
2019-02-26,73
2019-02-27,76
2019-02-28,64
2019-03-01,62
2019-03-02,77
2019-03-03,77
2019-03-04,76
2019-03-05,85
2019-03-06,94
2019-03-07,90
2019-03-08,78
2019-03-09,92
2019-03-10,100
2019-03-11,73
2019-03-12,72
2019-03-13,70
2019-03-14,71
2019-03-15,87
2019-03-16,78
2019-03-17,87
2019-03-18,78
2019-03-19,83
2019-03-20,80
2019-03-21,72
2019-03-22,77
2019-03-23,83
2019-03-24,94
2019-03-25,78
2019-03-26,64
2019-03-27,62
2019-03-28,66
2019-03-29,68
2019-03-30,75
2019-03-31,82
2019-04-01,79
2019-04-02,67
2019-04-03,66
2019-04-04,68
2019-04-05,75
2019-04-06,79
2019-04-07,92
2019-04-08,73
2019-04-09,64
2019-04-10,69
