Categoría: Todas las categorías

Día,Religión: (España)
2018-12-30,70
2018-12-31,69
2019-01-01,70
2019-01-02,90
2019-01-03,74
2019-01-04,74
2019-01-05,76
2019-01-06,63
2019-01-07,73
2019-01-08,83
2019-01-09,83
2019-01-10,86
2019-01-11,83
2019-01-12,78
2019-01-13,79
2019-01-14,87
2019-01-15,93
2019-01-16,87
2019-01-17,87
2019-01-18,80
2019-01-19,73
2019-01-20,85
2019-01-21,81
2019-01-22,84
2019-01-23,86
2019-01-24,85
2019-01-25,77
2019-01-26,66
2019-01-27,77
2019-01-28,97
2019-01-29,88
2019-01-30,87
2019-01-31,84
2019-02-01,80
2019-02-02,78
2019-02-03,84
2019-02-04,95
2019-02-05,96
2019-02-06,100
2019-02-07,92
2019-02-08,78
2019-02-09,75
2019-02-10,90
2019-02-11,94
2019-02-12,100
2019-02-13,92
2019-02-14,96
2019-02-15,91
2019-02-16,89
2019-02-17,91
2019-02-18,94
2019-02-19,93
2019-02-20,91
2019-02-21,98
2019-02-22,83
2019-02-23,81
2019-02-24,86
2019-02-25,88
2019-02-26,94
2019-02-27,97
2019-02-28,77
2019-03-01,76
2019-03-02,74
2019-03-03,80
2019-03-04,83
2019-03-05,94
2019-03-06,85
2019-03-07,93
2019-03-08,83
2019-03-09,72
2019-03-10,87
2019-03-11,94
2019-03-12,89
2019-03-13,87
2019-03-14,85
2019-03-15,85
2019-03-16,80
2019-03-17,89
2019-03-18,85
2019-03-19,90
2019-03-20,91
2019-03-21,96
2019-03-22,80
2019-03-23,81
2019-03-24,94
2019-03-25,89
2019-03-26,96
2019-03-27,86
2019-03-28,92
2019-03-29,76
2019-03-30,71
2019-03-31,81
2019-04-01,95
2019-04-02,88
2019-04-03,86
2019-04-04,84
2019-04-05,86
2019-04-06,81
2019-04-07,84
2019-04-08,86
2019-04-09,83
2019-04-10,85
