date,/m/03bty4x,isPartial
2019-12-30,66,False
2019-12-31,67,False
2020-01-01,70,False
2020-01-02,63,False
2020-01-03,69,False
2020-01-04,61,False
2020-01-05,95,False
2020-01-06,63,False
2020-01-07,47,False
2020-01-08,46,False
2020-01-09,59,False
2020-01-10,59,False
2020-01-11,65,False
2020-01-12,68,False
2020-01-13,52,False
2020-01-14,52,False
2020-01-15,50,False
2020-01-16,67,False
2020-01-17,51,False
2020-01-18,52,False
2020-01-19,76,False
2020-01-20,84,False
2020-01-21,60,False
2020-01-22,59,False
2020-01-23,67,False
2020-01-24,38,False
2020-01-25,58,False
2020-01-26,75,False
2020-01-27,58,False
2020-01-28,47,False
2020-01-29,47,False
2020-01-30,46,False
2020-01-31,54,False
2020-02-01,59,False
2020-02-02,81,False
2020-02-03,49,False
2020-02-04,70,False
2020-02-05,62,False
2020-02-06,44,False
2020-02-07,60,False
2020-02-08,64,False
2020-02-09,53,False
2020-02-10,49,False
2020-02-11,49,False
2020-02-12,65,False
2020-02-13,57,False
2020-02-14,38,False
2020-02-15,90,False
2020-02-16,61,False
2020-02-17,74,False
2020-02-18,53,False
2020-02-19,71,False
2020-02-20,42,False
2020-02-21,48,False
2020-02-22,51,False
2020-02-23,72,False
2020-02-24,51,False
2020-02-25,51,False
2020-02-26,52,False
2020-02-27,58,False
2020-02-28,52,False
2020-02-29,74,False
2020-03-01,55,False
2020-03-02,54,False
2020-03-03,54,False
2020-03-04,38,False
2020-03-05,55,False
2020-03-06,45,False
2020-03-07,73,False
2020-03-08,47,False
2020-03-09,27,False
2020-03-10,61,False
2020-03-11,61,False
2020-03-12,32,False
2020-03-13,46,False
2020-03-14,69,False
2020-03-15,76,False
2020-03-16,40,False
2020-03-17,39,False
2020-03-18,52,False
2020-03-19,55,False
2020-03-20,48,False
2020-03-21,63,False
2020-03-22,81,False
2020-03-23,71,False
2020-03-24,70,False
2020-03-25,46,False
2020-03-26,65,False
2020-03-27,49,False
2020-03-28,51,False
2020-03-29,88,False
2020-03-30,68,False
2020-03-31,70,False
2020-04-01,58,False
2020-04-02,53,False
2020-04-03,67,False
2020-04-04,64,False
2020-04-05,100,False
2020-04-06,43,False
2020-04-07,70,False
