date,/m/03bty4x,isPartial
2018-12-30,67,False
2019-01-06,84,False
2019-01-13,77,False
2019-01-20,75,False
2019-01-27,68,False
2019-02-03,59,False
2019-02-10,59,False
2019-02-17,67,False
2019-02-24,76,False
2019-03-03,83,False
2019-03-10,76,False
2019-03-17,76,False
2019-03-24,79,False
2019-03-31,70,False
2019-04-07,69,False
2019-04-14,74,False
2019-04-21,73,False
2019-04-28,71,False
2019-05-05,79,False
2019-05-12,72,False
2019-05-19,75,False
2019-05-26,74,False
2019-06-02,89,False
2019-06-09,77,False
2019-06-16,76,False
2019-06-23,72,False
2019-06-30,75,False
2019-07-07,79,False
2019-07-14,88,False
2019-07-21,73,False
2019-07-28,94,False
2019-08-04,71,False
2019-08-11,81,False
2019-08-18,83,False
2019-08-25,87,False
2019-09-01,84,False
2019-09-08,94,False
2019-09-15,95,False
2019-09-22,84,False
2019-09-29,84,False
2019-10-06,89,False
2019-10-13,86,False
2019-10-20,89,False
2019-10-27,89,False
2019-11-03,77,False
2019-11-10,88,False
2019-11-17,72,False
2019-11-24,86,False
2019-12-01,87,False
2019-12-08,90,False
2019-12-15,82,False
2019-12-22,84,False
2019-12-29,96,False
2020-01-05,94,False
2020-01-12,100,False
2020-01-19,89,False
2020-01-26,99,False
2020-02-02,88,False
2020-02-09,82,False
2020-02-16,91,False
2020-02-23,88,False
2020-03-01,84,False
2020-03-08,84,False
2020-03-15,74,False
2020-03-22,90,False
2020-03-29,87,False
2020-04-05,91,False
