date,/m/03bty4x,isPartial
2019-12-30,65,False
2019-12-31,72,False
2020-01-01,73,False
2020-01-02,55,False
2020-01-03,61,False
2020-01-04,70,False
2020-01-05,69,False
2020-01-06,61,False
2020-01-07,54,False
2020-01-08,60,False
2020-01-09,58,False
2020-01-10,58,False
2020-01-11,62,False
2020-01-12,71,False
2020-01-13,74,False
2020-01-14,72,False
2020-01-15,76,False
2020-01-16,59,False
2020-01-17,73,False
2020-01-18,68,False
2020-01-19,61,False
2020-01-20,50,False
2020-01-21,69,False
2020-01-22,57,False
2020-01-23,62,False
2020-01-24,71,False
2020-01-25,71,False
2020-01-26,83,False
2020-01-27,69,False
2020-01-28,62,False
2020-01-29,59,False
2020-01-30,63,False
2020-01-31,61,False
2020-02-01,70,False
2020-02-02,79,False
2020-02-03,69,False
2020-02-04,76,False
2020-02-05,61,False
2020-02-06,61,False
2020-02-07,61,False
2020-02-08,62,False
2020-02-09,63,False
2020-02-10,63,False
2020-02-11,75,False
2020-02-12,71,False
2020-02-13,66,False
2020-02-14,69,False
2020-02-15,56,False
2020-02-16,71,False
2020-02-17,75,False
2020-02-18,80,False
2020-02-19,86,False
2020-02-20,71,False
2020-02-21,59,False
2020-02-22,76,False
2020-02-23,70,False
2020-02-24,66,False
2020-02-25,71,False
2020-02-26,66,False
2020-02-27,68,False
2020-02-28,65,False
2020-02-29,57,False
2020-03-01,81,False
2020-03-02,69,False
2020-03-03,92,False
2020-03-04,83,False
2020-03-05,65,False
2020-03-06,64,False
2020-03-07,64,False
2020-03-08,69,False
2020-03-09,55,False
2020-03-10,83,False
2020-03-11,69,False
2020-03-12,55,False
2020-03-13,45,False
2020-03-14,51,False
2020-03-15,65,False
2020-03-16,48,False
2020-03-17,61,False
2020-03-18,62,False
2020-03-19,74,False
2020-03-20,57,False
2020-03-21,64,False
2020-03-22,68,False
2020-03-23,63,False
2020-03-24,70,False
2020-03-25,69,False
2020-03-26,61,False
2020-03-27,64,False
2020-03-28,76,False
2020-03-29,100,False
2020-03-30,91,False
2020-03-31,80,False
2020-04-01,75,False
2020-04-02,67,False
2020-04-03,60,False
2020-04-04,76,False
2020-04-05,90,False
2020-04-06,69,False
2020-04-07,67,False
