date,/m/03bty4x,isPartial
2018-12-30,72,False
2019-01-06,67,False
2019-01-13,67,False
2019-01-20,70,False
2019-01-27,60,False
2019-02-03,68,False
2019-02-10,66,False
2019-02-17,69,False
2019-02-24,69,False
2019-03-03,68,False
2019-03-10,63,False
2019-03-17,73,False
2019-03-24,71,False
2019-03-31,69,False
2019-04-07,75,False
2019-04-14,69,False
2019-04-21,68,False
2019-04-28,65,False
2019-05-05,67,False
2019-05-12,68,False
2019-05-19,68,False
2019-05-26,66,False
2019-06-02,75,False
2019-06-09,73,False
2019-06-16,69,False
2019-06-23,67,False
2019-06-30,70,False
2019-07-07,77,False
2019-07-14,79,False
2019-07-21,78,False
2019-07-28,72,False
2019-08-04,83,False
2019-08-11,82,False
2019-08-18,71,False
2019-08-25,76,False
2019-09-01,76,False
2019-09-08,74,False
2019-09-15,78,False
2019-09-22,81,False
2019-09-29,77,False
2019-10-06,79,False
2019-10-13,72,False
2019-10-20,77,False
2019-10-27,77,False
2019-11-03,83,False
2019-11-10,77,False
2019-11-17,76,False
2019-11-24,75,False
2019-12-01,74,False
2019-12-08,71,False
2019-12-15,76,False
2019-12-22,78,False
2019-12-29,82,False
2020-01-05,77,False
2020-01-12,89,False
2020-01-19,78,False
2020-01-26,85,False
2020-02-02,84,False
2020-02-09,83,False
2020-02-16,91,False
2020-02-23,83,False
2020-03-01,91,False
2020-03-08,75,False
2020-03-15,77,False
2020-03-22,83,False
2020-03-29,100,False
2020-04-05,99,False
