date,/m/03bty4x,isPartial
2018-12-30,71,False
2018-12-31,82,False
2019-01-01,93,False
2019-01-02,62,False
2019-01-03,62,False
2019-01-04,76,False
2019-01-05,88,False
2019-01-06,74,False
2019-01-07,75,False
2019-01-08,96,False
2019-01-09,86,False
2019-01-10,81,False
2019-01-11,78,False
2019-01-12,83,False
2019-01-13,74,False
2019-01-14,72,False
2019-01-15,64,False
2019-01-16,73,False
2019-01-17,78,False
2019-01-18,64,False
2019-01-19,71,False
2019-01-20,91,False
2019-01-21,72,False
2019-01-22,80,False
2019-01-23,79,False
2019-01-24,66,False
2019-01-25,65,False
2019-01-26,68,False
2019-01-27,86,False
2019-01-28,78,False
2019-01-29,76,False
2019-01-30,65,False
2019-01-31,73,False
2019-02-01,63,False
2019-02-02,58,False
2019-02-03,78,False
2019-02-04,68,False
2019-02-05,93,False
2019-02-06,78,False
2019-02-07,90,False
2019-02-08,94,False
2019-02-09,48,False
2019-02-10,83,False
2019-02-11,70,False
2019-02-12,70,False
2019-02-13,79,False
2019-02-14,78,False
2019-02-15,71,False
2019-02-16,72,False
2019-02-17,91,False
2019-02-18,74,False
2019-02-19,80,False
2019-02-20,85,False
2019-02-21,74,False
2019-02-22,51,False
2019-02-23,65,False
2019-02-24,70,False
2019-02-25,76,False
2019-02-26,71,False
2019-02-27,85,False
2019-02-28,55,False
2019-03-01,72,False
2019-03-02,79,False
2019-03-03,87,False
2019-03-04,73,False
2019-03-05,82,False
2019-03-06,88,False
2019-03-07,67,False
2019-03-08,57,False
2019-03-09,70,False
2019-03-10,99,False
2019-03-11,72,False
2019-03-12,70,False
2019-03-13,80,False
2019-03-14,79,False
2019-03-15,66,False
2019-03-16,69,False
2019-03-17,74,False
2019-03-18,79,False
2019-03-19,98,False
2019-03-20,100,False
2019-03-21,74,False
2019-03-22,70,False
2019-03-23,94,False
2019-03-24,74,False
2019-03-25,69,False
2019-03-26,91,False
2019-03-27,89,False
2019-03-28,75,False
2019-03-29,65,False
2019-03-30,65,False
2019-03-31,65,False
2019-04-01,84,False
2019-04-02,70,False
2019-04-03,72,False
2019-04-04,78,False
2019-04-05,67,False
2019-04-06,71,False
2019-04-07,90,False
2019-04-08,77,False
2019-04-09,75,False
2019-04-10,83,False
