date,Église,isPartial
2018-12-30,52,False
2018-12-31,52,False
2019-01-01,39,False
2019-01-02,42,False
2019-01-03,50,False
2019-01-04,41,False
2019-01-05,55,False
2019-01-06,56,False
2019-01-07,42,False
2019-01-08,50,False
2019-01-09,41,False
2019-01-10,47,False
2019-01-11,46,False
2019-01-12,57,False
2019-01-13,61,False
2019-01-14,49,False
2019-01-15,46,False
2019-01-16,45,False
2019-01-17,61,False
2019-01-18,54,False
2019-01-19,50,False
2019-01-20,57,False
2019-01-21,44,False
2019-01-22,46,False
2019-01-23,45,False
2019-01-24,47,False
2019-01-25,52,False
2019-01-26,49,False
2019-01-27,60,False
2019-01-28,49,False
2019-01-29,45,False
2019-01-30,39,False
2019-01-31,39,False
2019-02-01,45,False
2019-02-02,52,False
2019-02-03,58,False
2019-02-04,41,False
2019-02-05,47,False
2019-02-06,48,False
2019-02-07,49,False
2019-02-08,58,False
2019-02-09,50,False
2019-02-10,56,False
2019-02-11,61,False
2019-02-12,48,False
2019-02-13,48,False
2019-02-14,47,False
2019-02-15,44,False
2019-02-16,64,False
2019-02-17,67,False
2019-02-18,47,False
2019-02-19,45,False
2019-02-20,47,False
2019-02-21,53,False
2019-02-22,49,False
2019-02-23,62,False
2019-02-24,62,False
2019-02-25,47,False
2019-02-26,54,False
2019-02-27,46,False
2019-02-28,43,False
2019-03-01,50,False
2019-03-02,60,False
2019-03-03,60,False
2019-03-04,47,False
2019-03-05,50,False
2019-03-06,65,False
2019-03-07,59,False
2019-03-08,54,False
2019-03-09,62,False
2019-03-10,69,False
2019-03-11,53,False
2019-03-12,51,False
2019-03-13,49,False
2019-03-14,56,False
2019-03-15,60,False
2019-03-16,63,False
2019-03-17,100,False
2019-03-18,69,False
2019-03-19,51,False
2019-03-20,55,False
2019-03-21,50,False
2019-03-22,51,False
2019-03-23,64,False
2019-03-24,76,False
2019-03-25,48,False
2019-03-26,54,False
2019-03-27,52,False
2019-03-28,44,False
2019-03-29,57,False
2019-03-30,62,False
2019-03-31,69,False
2019-04-01,51,False
2019-04-02,58,False
2019-04-03,61,False
2019-04-04,53,False
2019-04-05,54,False
2019-04-06,59,False
2019-04-07,71,False
2019-04-08,50,False
2019-04-09,52,False
2019-04-10,51,False
