date,Chiesa,isPartial
2018-12-30,62,False
2018-12-31,47,False
2019-01-01,56,False
2019-01-02,40,False
2019-01-03,44,False
2019-01-04,44,False
2019-01-05,52,False
2019-01-06,60,False
2019-01-07,45,False
2019-01-08,36,False
2019-01-09,34,False
2019-01-10,45,False
2019-01-11,39,False
2019-01-12,45,False
2019-01-13,57,False
2019-01-14,38,False
2019-01-15,39,False
2019-01-16,36,False
2019-01-17,36,False
2019-01-18,38,False
2019-01-19,48,False
2019-01-20,51,False
2019-01-21,35,False
2019-01-22,34,False
2019-01-23,34,False
2019-01-24,34,False
2019-01-25,36,False
2019-01-26,45,False
2019-01-27,54,False
2019-01-28,39,False
2019-01-29,36,False
2019-01-30,44,False
2019-01-31,40,False
2019-02-01,42,False
2019-02-02,47,False
2019-02-03,50,False
2019-02-04,37,False
2019-02-05,38,False
2019-02-06,35,False
2019-02-07,35,False
2019-02-08,36,False
2019-02-09,46,False
2019-02-10,45,False
2019-02-11,40,False
2019-02-12,35,False
2019-02-13,37,False
2019-02-14,37,False
2019-02-15,40,False
2019-02-16,50,False
2019-02-17,57,False
2019-02-18,42,False
2019-02-19,40,False
2019-02-20,38,False
2019-02-21,36,False
2019-02-22,42,False
2019-02-23,49,False
2019-02-24,55,False
2019-02-25,39,False
2019-02-26,38,False
2019-02-27,50,False
2019-02-28,40,False
2019-03-01,38,False
2019-03-02,47,False
2019-03-03,100,False
2019-03-04,45,False
2019-03-05,42,False
2019-03-06,47,False
2019-03-07,38,False
2019-03-08,38,False
2019-03-09,51,False
2019-03-10,63,False
2019-03-11,43,False
2019-03-12,37,False
2019-03-13,39,False
2019-03-14,37,False
2019-03-15,43,False
2019-03-16,52,False
2019-03-17,55,False
2019-03-18,42,False
2019-03-19,42,False
2019-03-20,44,False
2019-03-21,42,False
2019-03-22,45,False
2019-03-23,58,False
2019-03-24,73,False
2019-03-25,44,False
2019-03-26,41,False
2019-03-27,42,False
2019-03-28,40,False
2019-03-29,47,False
2019-03-30,53,False
2019-03-31,56,False
2019-04-01,41,False
2019-04-02,41,False
2019-04-03,41,False
2019-04-04,38,False
2019-04-05,46,False
2019-04-06,55,False
2019-04-07,60,False
2019-04-08,38,False
2019-04-09,48,False
2019-04-10,39,False
