date,Church,isPartial
2019-12-30,33,False
2019-12-31,33,False
2020-01-01,30,False
2020-01-02,26,False
2020-01-03,27,False
2020-01-04,42,False
2020-01-05,48,False
2020-01-06,39,False
2020-01-07,31,False
2020-01-08,28,False
2020-01-09,27,False
2020-01-10,28,False
2020-01-11,33,False
2020-01-12,35,False
2020-01-13,28,False
2020-01-14,27,False
2020-01-15,25,False
2020-01-16,27,False
2020-01-17,25,False
2020-01-18,33,False
2020-01-19,32,False
2020-01-20,25,False
2020-01-21,22,False
2020-01-22,26,False
2020-01-23,23,False
2020-01-24,26,False
2020-01-25,37,False
2020-01-26,33,False
2020-01-27,26,False
2020-01-28,24,False
2020-01-29,23,False
2020-01-30,24,False
2020-01-31,24,False
2020-02-01,33,False
2020-02-02,35,False
2020-02-03,26,False
2020-02-04,24,False
2020-02-05,21,False
2020-02-06,27,False
2020-02-07,26,False
2020-02-08,29,False
2020-02-09,27,False
2020-02-10,24,False
2020-02-11,28,False
2020-02-12,31,False
2020-02-13,28,False
2020-02-14,27,False
2020-02-15,33,False
2020-02-16,35,False
2020-02-17,24,False
2020-02-18,26,False
2020-02-19,24,False
2020-02-20,24,False
2020-02-21,28,False
2020-02-22,35,False
2020-02-23,35,False
2020-02-24,26,False
2020-02-25,32,False
2020-02-26,41,False
2020-02-27,28,False
2020-02-28,28,False
2020-02-29,31,False
2020-03-01,32,False
2020-03-02,27,False
2020-03-03,28,False
2020-03-04,26,False
2020-03-05,25,False
2020-03-06,25,False
2020-03-07,32,False
2020-03-08,33,False
2020-03-09,25,False
2020-03-10,21,False
2020-03-11,23,False
2020-03-12,27,False
2020-03-13,37,False
2020-03-14,69,False
2020-03-15,100,False
2020-03-16,37,False
2020-03-17,58,False
2020-03-18,32,False
2020-03-19,32,False
2020-03-20,30,False
2020-03-21,50,False
2020-03-22,71,False
2020-03-23,32,False
2020-03-24,29,False
2020-03-25,41,False
2020-03-26,33,False
2020-03-27,34,False
2020-03-28,50,False
2020-03-29,87,False
2020-03-30,37,False
2020-03-31,45,False
2020-04-01,44,False
2020-04-02,37,False
2020-04-03,43,False
2020-04-04,58,False
2020-04-05,90,False
2020-04-06,43,False
2020-04-07,44,False
