date,Church,isPartial
2018-12-30,100,False
2018-12-31,74,False
2019-01-01,62,False
2019-01-02,47,False
2019-01-03,53,False
2019-01-04,62,False
2019-01-05,70,False
2019-01-06,71,False
2019-01-07,46,False
2019-01-08,56,False
2019-01-09,53,False
2019-01-10,58,False
2019-01-11,54,False
2019-01-12,68,False
2019-01-13,70,False
2019-01-14,67,False
2019-01-15,61,False
2019-01-16,53,False
2019-01-17,52,False
2019-01-18,46,False
2019-01-19,85,False
2019-01-20,84,False
2019-01-21,54,False
2019-01-22,63,False
2019-01-23,63,False
2019-01-24,55,False
2019-01-25,59,False
2019-01-26,72,False
2019-01-27,72,False
2019-01-28,56,False
2019-01-29,60,False
2019-01-30,48,False
2019-01-31,52,False
2019-02-01,56,False
2019-02-02,62,False
2019-02-03,75,False
2019-02-04,57,False
2019-02-05,58,False
2019-02-06,54,False
2019-02-07,53,False
2019-02-08,57,False
2019-02-09,77,False
2019-02-10,76,False
2019-02-11,59,False
2019-02-12,62,False
2019-02-13,53,False
2019-02-14,57,False
2019-02-15,61,False
2019-02-16,84,False
2019-02-17,79,False
2019-02-18,62,False
2019-02-19,52,False
2019-02-20,41,False
2019-02-21,50,False
2019-02-22,56,False
2019-02-23,67,False
2019-02-24,67,False
2019-02-25,72,False
2019-02-26,65,False
2019-02-27,53,False
2019-02-28,58,False
2019-03-01,61,False
2019-03-02,73,False
2019-03-03,84,False
2019-03-04,65,False
2019-03-05,77,False
2019-03-06,100,False
2019-03-07,54,False
2019-03-08,61,False
2019-03-09,81,False
2019-03-10,78,False
2019-03-11,65,False
2019-03-12,53,False
2019-03-13,53,False
2019-03-14,52,False
2019-03-15,65,False
2019-03-16,78,False
2019-03-17,86,False
2019-03-18,61,False
2019-03-19,60,False
2019-03-20,54,False
2019-03-21,56,False
2019-03-22,62,False
2019-03-23,72,False
2019-03-24,78,False
2019-03-25,61,False
2019-03-26,64,False
2019-03-27,52,False
2019-03-28,54,False
2019-03-29,56,False
2019-03-30,76,False
2019-03-31,74,False
2019-04-01,58,False
2019-04-02,55,False
2019-04-03,53,False
2019-04-04,63,False
2019-04-05,63,False
2019-04-06,74,False
2019-04-07,83,False
2019-04-08,66,False
2019-04-09,56,False
2019-04-10,55,False
