date,Church,isPartial
2018-12-30,69,False
2019-01-06,76,False
2019-01-13,71,False
2019-01-20,75,False
2019-01-27,72,False
2019-02-03,71,False
2019-02-10,73,False
2019-02-17,73,False
2019-02-24,74,False
2019-03-03,81,False
2019-03-10,76,False
2019-03-17,82,False
2019-03-24,74,False
2019-03-31,70,False
2019-04-07,79,False
2019-04-14,100,False
2019-04-21,86,False
2019-04-28,76,False
2019-05-05,71,False
2019-05-12,72,False
2019-05-19,75,False
2019-05-26,71,False
2019-06-02,70,False
2019-06-09,74,False
2019-06-16,71,False
2019-06-23,75,False
2019-06-30,75,False
2019-07-07,76,False
2019-07-14,73,False
2019-07-21,68,False
2019-07-28,70,False
2019-08-04,66,False
2019-08-11,72,False
2019-08-18,70,False
2019-08-25,72,False
2019-09-01,74,False
2019-09-08,84,False
2019-09-15,77,False
2019-09-22,75,False
2019-09-29,74,False
2019-10-06,81,False
2019-10-13,90,False
2019-10-20,73,False
2019-10-27,75,False
2019-11-03,79,False
2019-11-10,74,False
2019-11-17,73,False
2019-11-24,71,False
2019-12-01,71,False
2019-12-08,82,False
2019-12-15,78,False
2019-12-22,97,False
2019-12-29,69,False
2020-01-05,76,False
2020-01-12,74,False
2020-01-19,75,False
2020-01-26,75,False
2020-02-02,77,False
2020-02-09,73,False
2020-02-16,70,False
2020-02-23,74,False
2020-03-01,66,False
2020-03-08,73,False
2020-03-15,89,False
2020-03-22,71,False
2020-03-29,69,False
2020-04-05,84,False
