date,Chiesa,isPartial
2019-12-30,69,False
2019-12-31,77,False
2020-01-01,94,False
2020-01-02,74,False
2020-01-03,75,False
2020-01-04,97,False
2020-01-05,100,False
2020-01-06,87,False
2020-01-07,62,False
2020-01-08,58,False
2020-01-09,59,False
2020-01-10,64,False
2020-01-11,74,False
2020-01-12,98,False
2020-01-13,66,False
2020-01-14,63,False
2020-01-15,62,False
2020-01-16,63,False
2020-01-17,63,False
2020-01-18,86,False
2020-01-19,80,False
2020-01-20,62,False
2020-01-21,59,False
2020-01-22,58,False
2020-01-23,58,False
2020-01-24,57,False
2020-01-25,82,False
2020-01-26,74,False
2020-01-27,56,False
2020-01-28,57,False
2020-01-29,61,False
2020-01-30,54,False
2020-01-31,59,False
2020-02-01,75,False
2020-02-02,80,False
2020-02-03,59,False
2020-02-04,54,False
2020-02-05,57,False
2020-02-06,52,False
2020-02-07,52,False
2020-02-08,76,False
2020-02-09,69,False
2020-02-10,58,False
2020-02-11,60,False
2020-02-12,61,False
2020-02-13,57,False
2020-02-14,57,False
2020-02-15,77,False
2020-02-16,82,False
2020-02-17,63,False
2020-02-18,59,False
2020-02-19,58,False
2020-02-20,61,False
2020-02-21,53,False
2020-02-22,68,False
2020-02-23,73,False
2020-02-24,50,False
2020-02-25,87,False
2020-02-26,55,False
2020-02-27,48,False
2020-02-28,54,False
2020-02-29,69,False
2020-03-01,88,False
2020-03-02,56,False
2020-03-03,51,False
2020-03-04,45,False
2020-03-05,48,False
2020-03-06,49,False
2020-03-07,60,False
2020-03-08,63,False
2020-03-09,40,False
2020-03-10,41,False
2020-03-11,37,False
2020-03-12,39,False
2020-03-13,46,False
2020-03-14,47,False
2020-03-15,85,False
2020-03-16,52,False
2020-03-17,44,False
2020-03-18,46,False
2020-03-19,59,False
2020-03-20,52,False
2020-03-21,51,False
2020-03-22,61,False
2020-03-23,41,False
2020-03-24,42,False
2020-03-25,51,False
2020-03-26,44,False
2020-03-27,69,False
2020-03-28,58,False
2020-03-29,66,False
2020-03-30,43,False
2020-03-31,43,False
2020-04-01,41,False
2020-04-02,42,False
2020-04-03,49,False
2020-04-04,58,False
2020-04-05,87,False
2020-04-06,49,False
2020-04-07,48,False
