date,Iglesia,isPartial
2018-12-30,77,False
2018-12-31,65,False
2019-01-01,67,False
2019-01-02,52,False
2019-01-03,53,False
2019-01-04,55,False
2019-01-05,58,False
2019-01-06,67,False
2019-01-07,52,False
2019-01-08,52,False
2019-01-09,47,False
2019-01-10,51,False
2019-01-11,51,False
2019-01-12,70,False
2019-01-13,72,False
2019-01-14,57,False
2019-01-15,53,False
2019-01-16,51,False
2019-01-17,58,False
2019-01-18,54,False
2019-01-19,62,False
2019-01-20,78,False
2019-01-21,48,False
2019-01-22,52,False
2019-01-23,52,False
2019-01-24,50,False
2019-01-25,51,False
2019-01-26,65,False
2019-01-27,77,False
2019-01-28,54,False
2019-01-29,55,False
2019-01-30,58,False
2019-01-31,55,False
2019-02-01,56,False
2019-02-02,65,False
2019-02-03,76,False
2019-02-04,50,False
2019-02-05,60,False
2019-02-06,58,False
2019-02-07,60,False
2019-02-08,60,False
2019-02-09,73,False
2019-02-10,78,False
2019-02-11,60,False
2019-02-12,57,False
2019-02-13,55,False
2019-02-14,56,False
2019-02-15,59,False
2019-02-16,82,False
2019-02-17,82,False
2019-02-18,59,False
2019-02-19,57,False
2019-02-20,60,False
2019-02-21,60,False
2019-02-22,65,False
2019-02-23,79,False
2019-02-24,81,False
2019-02-25,58,False
2019-02-26,59,False
2019-02-27,54,False
2019-02-28,65,False
2019-03-01,64,False
2019-03-02,82,False
2019-03-03,91,False
2019-03-04,58,False
2019-03-05,65,False
2019-03-06,79,False
2019-03-07,55,False
2019-03-08,63,False
2019-03-09,76,False
2019-03-10,81,False
2019-03-11,58,False
2019-03-12,56,False
2019-03-13,57,False
2019-03-14,61,False
2019-03-15,62,False
2019-03-16,83,False
2019-03-17,90,False
2019-03-18,77,False
2019-03-19,76,False
2019-03-20,73,False
2019-03-21,62,False
2019-03-22,66,False
2019-03-23,94,False
2019-03-24,100,False
2019-03-25,61,False
2019-03-26,62,False
2019-03-27,62,False
2019-03-28,66,False
2019-03-29,63,False
2019-03-30,77,False
2019-03-31,86,False
2019-04-01,73,False
2019-04-02,68,False
2019-04-03,60,False
2019-04-04,61,False
2019-04-05,70,False
2019-04-06,88,False
2019-04-07,93,False
2019-04-08,73,False
2019-04-09,70,False
2019-04-10,72,False
