date,Kirche,isPartial
2018-12-30,84,False
2018-12-31,85,False
2019-01-01,71,False
2019-01-02,56,False
2019-01-03,57,False
2019-01-04,58,False
2019-01-05,75,False
2019-01-06,100,False
2019-01-07,64,False
2019-01-08,56,False
2019-01-09,56,False
2019-01-10,53,False
2019-01-11,53,False
2019-01-12,65,False
2019-01-13,76,False
2019-01-14,55,False
2019-01-15,57,False
2019-01-16,59,False
2019-01-17,53,False
2019-01-18,53,False
2019-01-19,73,False
2019-01-20,71,False
2019-01-21,55,False
2019-01-22,55,False
2019-01-23,53,False
2019-01-24,51,False
2019-01-25,49,False
2019-01-26,63,False
2019-01-27,76,False
2019-01-28,52,False
2019-01-29,54,False
2019-01-30,49,False
2019-01-31,54,False
2019-02-01,55,False
2019-02-02,61,False
2019-02-03,69,False
2019-02-04,53,False
2019-02-05,54,False
2019-02-06,55,False
2019-02-07,55,False
2019-02-08,54,False
2019-02-09,68,False
2019-02-10,75,False
2019-02-11,52,False
2019-02-12,58,False
2019-02-13,53,False
2019-02-14,56,False
2019-02-15,56,False
2019-02-16,71,False
2019-02-17,71,False
2019-02-18,54,False
2019-02-19,57,False
2019-02-20,63,False
2019-02-21,67,False
2019-02-22,57,False
2019-02-23,67,False
2019-02-24,87,False
2019-02-25,61,False
2019-02-26,63,False
2019-02-27,60,False
2019-02-28,53,False
2019-03-01,64,False
2019-03-02,63,False
2019-03-03,74,False
2019-03-04,54,False
2019-03-05,61,False
2019-03-06,77,False
2019-03-07,61,False
2019-03-08,56,False
2019-03-09,67,False
2019-03-10,77,False
2019-03-11,59,False
2019-03-12,58,False
2019-03-13,58,False
2019-03-14,58,False
2019-03-15,60,False
2019-03-16,71,False
2019-03-17,85,False
2019-03-18,60,False
2019-03-19,62,False
2019-03-20,60,False
2019-03-21,60,False
2019-03-22,55,False
2019-03-23,72,False
2019-03-24,81,False
2019-03-25,59,False
2019-03-26,59,False
2019-03-27,60,False
2019-03-28,60,False
2019-03-29,55,False
2019-03-30,71,False
2019-03-31,77,False
2019-04-01,53,False
2019-04-02,56,False
2019-04-03,56,False
2019-04-04,58,False
2019-04-05,58,False
2019-04-06,70,False
2019-04-07,85,False
2019-04-08,58,False
2019-04-09,58,False
2019-04-10,60,False
