date,Kirche,isPartial
2018-12-30,85,False
2018-12-31,75,False
2019-01-01,62,False
2019-01-02,56,False
2019-01-03,50,False
2019-01-04,55,False
2019-01-05,71,False
2019-01-06,100,False
2019-01-07,57,False
2019-01-08,49,False
2019-01-09,50,False
2019-01-10,45,False
2019-01-11,58,False
2019-01-12,66,False
2019-01-13,60,False
2019-01-14,48,False
2019-01-15,47,False
2019-01-16,59,False
2019-01-17,55,False
2019-01-18,39,False
2019-01-19,63,False
2019-01-20,65,False
2019-01-21,49,False
2019-01-22,57,False
2019-01-23,51,False
2019-01-24,47,False
2019-01-25,38,False
2019-01-26,58,False
2019-01-27,73,False
2019-01-28,57,False
2019-01-29,43,False
2019-01-30,51,False
2019-01-31,53,False
2019-02-01,48,False
2019-02-02,68,False
2019-02-03,59,False
2019-02-04,47,False
2019-02-05,44,False
2019-02-06,56,False
2019-02-07,56,False
2019-02-08,49,False
2019-02-09,61,False
2019-02-10,63,False
2019-02-11,44,False
2019-02-12,53,False
2019-02-13,49,False
2019-02-14,50,False
2019-02-15,57,False
2019-02-16,64,False
2019-02-17,78,False
2019-02-18,47,False
2019-02-19,55,False
2019-02-20,58,False
2019-02-21,60,False
2019-02-22,57,False
2019-02-23,77,False
2019-02-24,72,False
2019-02-25,53,False
2019-02-26,55,False
2019-02-27,58,False
2019-02-28,57,False
2019-03-01,51,False
2019-03-02,71,False
2019-03-03,66,False
2019-03-04,52,False
2019-03-05,62,False
2019-03-06,74,False
2019-03-07,54,False
2019-03-08,56,False
2019-03-09,74,False
2019-03-10,86,False
2019-03-11,62,False
2019-03-12,43,False
2019-03-13,59,False
2019-03-14,51,False
2019-03-15,57,False
2019-03-16,67,False
2019-03-17,81,False
2019-03-18,54,False
2019-03-19,57,False
2019-03-20,51,False
2019-03-21,55,False
2019-03-22,60,False
2019-03-23,73,False
2019-03-24,76,False
2019-03-25,52,False
2019-03-26,51,False
2019-03-27,53,False
2019-03-28,52,False
2019-03-29,58,False
2019-03-30,60,False
2019-03-31,71,False
2019-04-01,57,False
2019-04-02,52,False
2019-04-03,56,False
2019-04-04,55,False
2019-04-05,60,False
2019-04-06,65,False
2019-04-07,89,False
2019-04-08,48,False
2019-04-09,60,False
2019-04-10,52,False
