date,Kerk,isPartial
2018-12-30,87,False
2018-12-31,67,False
2019-01-01,57,False
2019-01-02,49,False
2019-01-03,49,False
2019-01-04,48,False
2019-01-05,70,False
2019-01-06,100,False
2019-01-07,70,False
2019-01-08,55,False
2019-01-09,44,False
2019-01-10,52,False
2019-01-11,50,False
2019-01-12,71,False
2019-01-13,91,False
2019-01-14,48,False
2019-01-15,46,False
2019-01-16,44,False
2019-01-17,47,False
2019-01-18,51,False
2019-01-19,70,False
2019-01-20,85,False
2019-01-21,52,False
2019-01-22,42,False
2019-01-23,45,False
2019-01-24,46,False
2019-01-25,48,False
2019-01-26,59,False
2019-01-27,90,False
2019-01-28,44,False
2019-01-29,46,False
2019-01-30,45,False
2019-01-31,46,False
2019-02-01,51,False
2019-02-02,64,False
2019-02-03,89,False
2019-02-04,42,False
2019-02-05,49,False
2019-02-06,50,False
2019-02-07,40,False
2019-02-08,44,False
2019-02-09,64,False
2019-02-10,75,False
2019-02-11,46,False
2019-02-12,44,False
2019-02-13,43,False
2019-02-14,43,False
2019-02-15,46,False
2019-02-16,68,False
2019-02-17,88,False
2019-02-18,47,False
2019-02-19,51,False
2019-02-20,48,False
2019-02-21,49,False
2019-02-22,50,False
2019-02-23,67,False
2019-02-24,76,False
2019-02-25,41,False
2019-02-26,44,False
2019-02-27,43,False
2019-02-28,44,False
2019-03-01,45,False
2019-03-02,67,False
2019-03-03,91,False
2019-03-04,49,False
2019-03-05,54,False
2019-03-06,54,False
2019-03-07,52,False
2019-03-08,49,False
2019-03-09,60,False
2019-03-10,88,False
2019-03-11,51,False
2019-03-12,46,False
2019-03-13,62,False
2019-03-14,47,False
2019-03-15,53,False
2019-03-16,74,False
2019-03-17,95,False
2019-03-18,51,False
2019-03-19,51,False
2019-03-20,45,False
2019-03-21,49,False
2019-03-22,47,False
2019-03-23,79,False
2019-03-24,83,False
2019-03-25,47,False
2019-03-26,44,False
2019-03-27,43,False
2019-03-28,45,False
2019-03-29,54,False
2019-03-30,63,False
2019-03-31,75,False
2019-04-01,48,False
2019-04-02,44,False
2019-04-03,40,False
2019-04-04,49,False
2019-04-05,51,False
2019-04-06,77,False
2019-04-07,80,False
2019-04-08,47,False
2019-04-09,46,False
2019-04-10,47,False
