Categoría: Autoayuda y motivación

Día,Geo: Francia
2018-12-30,50
2018-12-31,46
2019-01-01,68
2019-01-02,62
2019-01-03,62
2019-01-04,66
2019-01-05,58
2019-01-06,71
2019-01-07,58
2019-01-08,60
2019-01-09,57
2019-01-10,55
2019-01-11,53
2019-01-12,49
2019-01-13,61
2019-01-14,59
2019-01-15,57
2019-01-16,57
2019-01-17,57
2019-01-18,58
2019-01-19,58
2019-01-20,60
2019-01-21,61
2019-01-22,59
2019-01-23,61
2019-01-24,57
2019-01-25,57
2019-01-26,52
2019-01-27,65
2019-01-28,56
2019-01-29,55
2019-01-30,60
2019-01-31,55
2019-02-01,53
2019-02-02,59
2019-02-03,60
2019-02-04,59
2019-02-05,62
2019-02-06,55
2019-02-07,58
2019-02-08,54
2019-02-09,50
2019-02-10,56
2019-02-11,56
2019-02-12,58
2019-02-13,51
2019-02-14,51
2019-02-15,53
2019-02-16,49
2019-02-17,50
2019-02-18,57
2019-02-19,60
2019-02-20,57
2019-02-21,53
2019-02-22,54
2019-02-23,51
2019-02-24,49
2019-02-25,53
2019-02-26,54
2019-02-27,55
2019-02-28,57
2019-03-01,54
2019-03-02,49
2019-03-03,54
2019-03-04,54
2019-03-05,54
2019-03-06,59
2019-03-07,55
2019-03-08,52
2019-03-09,52
2019-03-10,58
2019-03-11,56
2019-03-12,58
2019-03-13,55
2019-03-14,56
2019-03-15,54
2019-03-16,50
2019-03-17,62
2019-03-18,54
2019-03-19,57
2019-03-20,60
2019-03-21,52
2019-03-22,46
2019-03-23,47
2019-03-24,59
2019-03-25,100
2019-03-26,65
2019-03-27,61
2019-03-28,57
2019-03-29,50
2019-03-30,50
2019-03-31,51
2019-04-01,57
2019-04-02,57
2019-04-03,57
2019-04-04,51
2019-04-05,52
2019-04-06,58
2019-04-07,58
2019-04-08,56
2019-04-09,55
2019-04-10,54
