Categoría: Autoayuda y motivación

Día,Geo: España
2018-12-30,68
2018-12-31,86
2019-01-01,71
2019-01-02,64
2019-01-03,59
2019-01-04,62
2019-01-05,58
2019-01-06,55
2019-01-07,58
2019-01-08,62
2019-01-09,62
2019-01-10,62
2019-01-11,63
2019-01-12,63
2019-01-13,64
2019-01-14,61
2019-01-15,62
2019-01-16,65
2019-01-17,70
2019-01-18,62
2019-01-19,68
2019-01-20,73
2019-01-21,66
2019-01-22,72
2019-01-23,65
2019-01-24,64
2019-01-25,64
2019-01-26,60
2019-01-27,71
2019-01-28,70
2019-01-29,71
2019-01-30,74
2019-01-31,72
2019-02-01,68
2019-02-02,68
2019-02-03,65
2019-02-04,72
2019-02-05,67
2019-02-06,61
2019-02-07,66
2019-02-08,59
2019-02-09,55
2019-02-10,68
2019-02-11,68
2019-02-12,61
2019-02-13,60
2019-02-14,59
2019-02-15,62
2019-02-16,63
2019-02-17,68
2019-02-18,63
2019-02-19,64
2019-02-20,69
2019-02-21,70
2019-02-22,61
2019-02-23,65
2019-02-24,64
2019-02-25,62
2019-02-26,58
2019-02-27,58
2019-02-28,63
2019-03-01,59
2019-03-02,58
2019-03-03,62
2019-03-04,67
2019-03-05,65
2019-03-06,73
2019-03-07,67
2019-03-08,57
2019-03-09,60
2019-03-10,66
2019-03-11,64
2019-03-12,62
2019-03-13,62
2019-03-14,62
2019-03-15,56
2019-03-16,58
2019-03-17,69
2019-03-18,100
2019-03-19,83
2019-03-20,67
2019-03-21,67
2019-03-22,63
2019-03-23,90
2019-03-24,92
2019-03-25,66
2019-03-26,79
2019-03-27,65
2019-03-28,72
2019-03-29,61
2019-03-30,68
2019-03-31,73
2019-04-01,71
2019-04-02,73
2019-04-03,66
2019-04-04,70
2019-04-05,74
2019-04-06,64
2019-04-07,78
2019-04-08,76
2019-04-09,72
2019-04-10,69
