Categoría: Autoayuda y motivación

Semana,Geo: Austria
2018-12-30,62
2019-01-06,99
2019-01-13,97
2019-01-20,90
2019-01-27,94
2019-02-03,79
2019-02-10,84
2019-02-17,97
2019-02-24,97
2019-03-03,99
2019-03-10,100
2019-03-17,98
2019-03-24,99
2019-03-31,93
2019-04-07,86
2019-04-14,69
2019-04-21,81
2019-04-28,87
2019-05-05,96
2019-05-12,92
2019-05-19,83
2019-05-26,75
2019-06-02,82
2019-06-09,72
2019-06-16,76
2019-06-23,79
2019-06-30,73
2019-07-07,74
2019-07-14,59
2019-07-21,56
2019-07-28,52
2019-08-04,56
2019-08-11,54
2019-08-18,67
2019-08-25,73
2019-09-01,82
2019-09-08,82
2019-09-15,81
2019-09-22,84
2019-09-29,90
2019-10-06,93
2019-10-13,93
2019-10-20,86
2019-10-27,73
2019-11-03,92
2019-11-10,88
2019-11-17,99
2019-11-24,83
2019-12-01,76
2019-12-08,78
2019-12-15,79
2019-12-22,57
2019-12-29,67
2020-01-05,96
2020-01-12,96
2020-01-19,95
2020-01-26,88
2020-02-02,79
2020-02-09,91
2020-02-16,92
2020-02-23,92
2020-03-01,96
2020-03-08,100
2020-03-15,79
2020-03-22,78
2020-03-29,78
2020-04-05,68
