Categoría: Autoayuda y motivación

Semana,Geo: Francia
2018-12-30,72
2019-01-06,70
2019-01-13,70
2019-01-20,71
2019-01-27,71
2019-02-03,70
2019-02-10,66
2019-02-17,68
2019-02-24,58
2019-03-03,66
2019-03-10,66
2019-03-17,58
2019-03-24,81
2019-03-31,67
2019-04-07,63
2019-04-14,66
2019-04-21,62
2019-04-28,63
2019-05-05,65
2019-05-12,66
2019-05-19,67
2019-05-26,59
2019-06-02,68
2019-06-09,61
2019-06-16,69
2019-06-23,64
2019-06-30,62
2019-07-07,60
2019-07-14,61
2019-07-21,62
2019-07-28,62
2019-08-04,58
2019-08-11,61
2019-08-18,63
2019-08-25,63
2019-09-01,69
2019-09-08,65
2019-09-15,75
2019-09-22,76
2019-09-29,74
2019-10-06,71
2019-10-13,72
2019-10-20,68
2019-10-27,62
2019-11-03,67
2019-11-10,68
2019-11-17,74
2019-11-24,66
2019-12-01,66
2019-12-08,69
2019-12-15,72
2019-12-22,57
2019-12-29,66
2020-01-05,77
2020-01-12,78
2020-01-19,72
2020-01-26,73
2020-02-02,75
2020-02-09,100
2020-02-16,96
2020-02-23,89
2020-03-01,76
2020-03-08,67
2020-03-15,67
2020-03-22,86
2020-03-29,84
2020-04-05,84
