Categoría: Autoayuda y motivación

Día,Geo: Reino Unido
2018-12-30,68
2018-12-31,73
2019-01-01,82
2019-01-02,81
2019-01-03,75
2019-01-04,70
2019-01-05,66
2019-01-06,75
2019-01-07,90
2019-01-08,82
2019-01-09,86
2019-01-10,86
2019-01-11,73
2019-01-12,73
2019-01-13,73
2019-01-14,86
2019-01-15,83
2019-01-16,89
2019-01-17,72
2019-01-18,72
2019-01-19,69
2019-01-20,76
2019-01-21,76
2019-01-22,83
2019-01-23,81
2019-01-24,79
2019-01-25,83
2019-01-26,69
2019-01-27,71
2019-01-28,81
2019-01-29,79
2019-01-30,81
2019-01-31,77
2019-02-01,69
2019-02-02,67
2019-02-03,72
2019-02-04,79
2019-02-05,80
2019-02-06,81
2019-02-07,80
2019-02-08,82
2019-02-09,71
2019-02-10,76
2019-02-11,74
2019-02-12,80
2019-02-13,81
2019-02-14,65
2019-02-15,70
2019-02-16,60
2019-02-17,71
2019-02-18,74
2019-02-19,76
2019-02-20,68
2019-02-21,69
2019-02-22,69
2019-02-23,62
2019-02-24,70
2019-02-25,75
2019-02-26,78
2019-02-27,75
2019-02-28,83
2019-03-01,71
2019-03-02,75
2019-03-03,84
2019-03-04,87
2019-03-05,86
2019-03-06,77
2019-03-07,83
2019-03-08,74
2019-03-09,64
2019-03-10,71
2019-03-11,82
2019-03-12,81
2019-03-13,80
2019-03-14,78
2019-03-15,69
2019-03-16,70
2019-03-17,75
2019-03-18,81
2019-03-19,87
2019-03-20,100
2019-03-21,79
2019-03-22,73
2019-03-23,66
2019-03-24,71
2019-03-25,76
2019-03-26,81
2019-03-27,76
2019-03-28,73
2019-03-29,63
2019-03-30,59
2019-03-31,64
2019-04-01,76
2019-04-02,81
2019-04-03,76
2019-04-04,77
2019-04-05,71
2019-04-06,68
2019-04-07,74
2019-04-08,81
2019-04-09,80
2019-04-10,84
