Categoría: Autoayuda y motivación

Semana,Geo: España
2018-12-30,77
2019-01-06,70
2019-01-13,77
2019-01-20,80
2019-01-27,86
2019-02-03,73
2019-02-10,75
2019-02-17,77
2019-02-24,72
2019-03-03,76
2019-03-10,74
2019-03-17,94
2019-03-24,88
2019-03-31,85
2019-04-07,84
2019-04-14,71
2019-04-21,76
2019-04-28,64
2019-05-05,79
2019-05-12,77
2019-05-19,88
2019-05-26,85
2019-06-02,84
2019-06-09,85
2019-06-16,78
2019-06-23,70
2019-06-30,72
2019-07-07,65
2019-07-14,64
2019-07-21,71
2019-07-28,61
2019-08-04,77
2019-08-11,80
2019-08-18,84
2019-08-25,78
2019-09-01,78
2019-09-08,82
2019-09-15,84
2019-09-22,78
2019-09-29,78
2019-10-06,81
2019-10-13,84
2019-10-20,81
2019-10-27,73
2019-11-03,78
2019-11-10,86
2019-11-17,87
2019-11-24,80
2019-12-01,80
2019-12-08,81
2019-12-15,94
2019-12-22,93
2019-12-29,81
2020-01-05,75
2020-01-12,86
2020-01-19,92
2020-01-26,80
2020-02-02,83
2020-02-09,85
2020-02-16,84
2020-02-23,77
2020-03-01,84
2020-03-08,76
2020-03-15,87
2020-03-22,99
2020-03-29,97
2020-04-05,100
