Categoría: Religión y creencias

Día,Religión: (Portugal)
2018-12-30,0
2018-12-31,0
2019-01-01,94
2019-01-02,0
2019-01-03,0
2019-01-04,71
2019-01-05,0
2019-01-06,90
2019-01-07,0
2019-01-08,46
2019-01-09,52
2019-01-10,45
2019-01-11,69
2019-01-12,0
2019-01-13,0
2019-01-14,43
2019-01-15,100
2019-01-16,98
2019-01-17,84
2019-01-18,64
2019-01-19,49
2019-01-20,64
2019-01-21,65
2019-01-22,59
2019-01-23,0
2019-01-24,59
2019-01-25,45
2019-01-26,0
2019-01-27,0
2019-01-28,87
2019-01-29,77
2019-01-30,54
2019-01-31,0
2019-02-01,0
2019-02-02,81
2019-02-03,62
2019-02-04,53
2019-02-05,54
2019-02-06,51
2019-02-07,74
2019-02-08,43
2019-02-09,54
2019-02-10,0
2019-02-11,0
2019-02-12,90
2019-02-13,0
2019-02-14,50
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,39
2019-02-19,46
2019-02-20,0
2019-02-21,76
2019-02-22,0
2019-02-23,62
2019-02-24,0
2019-02-25,0
2019-02-26,64
2019-02-27,59
2019-02-28,94
2019-03-01,0
2019-03-02,0
2019-03-03,0
2019-03-04,45
2019-03-05,68
2019-03-06,43
2019-03-07,0
2019-03-08,0
2019-03-09,80
2019-03-10,55
2019-03-11,0
2019-03-12,71
2019-03-13,55
2019-03-14,77
2019-03-15,0
2019-03-16,0
2019-03-17,65
2019-03-18,44
2019-03-19,44
2019-03-20,0
2019-03-21,54
2019-03-22,46
2019-03-23,0
2019-03-24,78
2019-03-25,69
2019-03-26,0
2019-03-27,64
2019-03-28,83
2019-03-29,60
2019-03-30,58
2019-03-31,80
2019-04-01,0
2019-04-02,0
2019-04-03,46
2019-04-04,0
2019-04-05,58
2019-04-06,0
2019-04-07,0
2019-04-08,46
2019-04-09,41
2019-04-10,0
