Categoría: Religión y creencias

Día,Religión: (Suiza)
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,57
2019-01-04,78
2019-01-05,0
2019-01-06,72
2019-01-07,70
2019-01-08,43
2019-01-09,71
2019-01-10,59
2019-01-11,66
2019-01-12,86
2019-01-13,55
2019-01-14,70
2019-01-15,60
2019-01-16,0
2019-01-17,67
2019-01-18,68
2019-01-19,68
2019-01-20,73
2019-01-21,48
2019-01-22,0
2019-01-23,60
2019-01-24,69
2019-01-25,0
2019-01-26,0
2019-01-27,71
2019-01-28,61
2019-01-29,0
2019-01-30,0
2019-01-31,68
2019-02-01,88
2019-02-02,0
2019-02-03,0
2019-02-04,0
2019-02-05,58
2019-02-06,56
2019-02-07,73
2019-02-08,61
2019-02-09,70
2019-02-10,57
2019-02-11,48
2019-02-12,59
2019-02-13,0
2019-02-14,0
2019-02-15,68
2019-02-16,72
2019-02-17,0
2019-02-18,0
2019-02-19,0
2019-02-20,72
2019-02-21,57
2019-02-22,49
2019-02-23,0
2019-02-24,71
2019-02-25,53
2019-02-26,63
2019-02-27,48
2019-02-28,51
2019-03-01,59
2019-03-02,76
2019-03-03,0
2019-03-04,0
2019-03-05,48
2019-03-06,73
2019-03-07,73
2019-03-08,51
2019-03-09,0
2019-03-10,70
2019-03-11,66
2019-03-12,58
2019-03-13,66
2019-03-14,100
2019-03-15,66
2019-03-16,65
2019-03-17,67
2019-03-18,0
2019-03-19,53
2019-03-20,57
2019-03-21,80
2019-03-22,63
2019-03-23,0
2019-03-24,58
2019-03-25,43
2019-03-26,0
2019-03-27,0
2019-03-28,73
2019-03-29,0
2019-03-30,0
2019-03-31,66
2019-04-01,0
2019-04-02,0
2019-04-03,0
2019-04-04,77
2019-04-05,0
2019-04-06,80
2019-04-07,93
2019-04-08,46
2019-04-09,84
2019-04-10,0
