Categoría: Religión y creencias

Semana,Religión: (Francia)
2018-12-30,66
2019-01-06,67
2019-01-13,71
2019-01-20,66
2019-01-27,61
2019-02-03,70
2019-02-10,71
2019-02-17,79
2019-02-24,70
2019-03-03,75
2019-03-10,72
2019-03-17,76
2019-03-24,71
2019-03-31,70
2019-04-07,69
2019-04-14,86
2019-04-21,92
2019-04-28,74
2019-05-05,94
2019-05-12,77
2019-05-19,73
2019-05-26,68
2019-06-02,69
2019-06-09,56
2019-06-16,55
2019-06-23,53
2019-06-30,49
2019-07-07,56
2019-07-14,53
2019-07-21,52
2019-07-28,50
2019-08-04,55
2019-08-11,74
2019-08-18,60
2019-08-25,57
2019-09-01,57
2019-09-08,65
2019-09-15,67
2019-09-22,66
2019-09-29,73
2019-10-06,82
2019-10-13,84
2019-10-20,72
2019-10-27,81
2019-11-03,75
2019-11-10,76
2019-11-17,72
2019-11-24,70
2019-12-01,69
2019-12-08,66
2019-12-15,72
2019-12-22,86
2019-12-29,81
2020-01-05,77
2020-01-12,77
2020-01-19,75
2020-01-26,84
2020-02-02,88
2020-02-09,73
2020-02-16,71
2020-02-23,67
2020-03-01,72
2020-03-08,61
2020-03-15,69
2020-03-22,90
2020-03-29,97
2020-04-05,100
