Categoría: Religión y creencias

Semana,Religión: (Portugal)
2018-12-30,79
2019-01-06,83
2019-01-13,96
2019-01-20,80
2019-01-27,86
2019-02-03,75
2019-02-10,71
2019-02-17,69
2019-02-24,71
2019-03-03,71
2019-03-10,72
2019-03-17,75
2019-03-24,94
2019-03-31,73
2019-04-07,70
2019-04-14,75
2019-04-21,100
2019-04-28,82
2019-05-05,84
2019-05-12,86
2019-05-19,89
2019-05-26,77
2019-06-02,71
2019-06-09,66
2019-06-16,57
2019-06-23,73
2019-06-30,70
2019-07-07,49
2019-07-14,55
2019-07-21,53
2019-07-28,56
2019-08-04,52
2019-08-11,73
2019-08-18,55
2019-08-25,64
2019-09-01,50
2019-09-08,60
2019-09-15,65
2019-09-22,70
2019-09-29,57
2019-10-06,67
2019-10-13,82
2019-10-20,91
2019-10-27,80
2019-11-03,82
2019-11-10,75
2019-11-17,78
2019-11-24,82
2019-12-01,72
2019-12-08,60
2019-12-15,68
2019-12-22,88
2019-12-29,76
2020-01-05,78
2020-01-12,76
2020-01-19,88
2020-01-26,83
2020-02-02,87
2020-02-09,87
2020-02-16,84
2020-02-23,85
2020-03-01,97
2020-03-08,58
2020-03-15,93
2020-03-22,97
2020-03-29,72
2020-04-05,100
