Categoría: Religión y creencias

Día,Religión: (España)
2018-12-30,70
2018-12-31,62
2019-01-01,59
2019-01-02,85
2019-01-03,66
2019-01-04,68
2019-01-05,70
2019-01-06,68
2019-01-07,69
2019-01-08,70
2019-01-09,73
2019-01-10,76
2019-01-11,78
2019-01-12,67
2019-01-13,64
2019-01-14,84
2019-01-15,76
2019-01-16,79
2019-01-17,73
2019-01-18,70
2019-01-19,71
2019-01-20,81
2019-01-21,70
2019-01-22,71
2019-01-23,78
2019-01-24,77
2019-01-25,57
2019-01-26,58
2019-01-27,67
2019-01-28,93
2019-01-29,87
2019-01-30,75
2019-01-31,79
2019-02-01,75
2019-02-02,62
2019-02-03,70
2019-02-04,95
2019-02-05,79
2019-02-06,87
2019-02-07,89
2019-02-08,71
2019-02-09,59
2019-02-10,76
2019-02-11,78
2019-02-12,90
2019-02-13,84
2019-02-14,86
2019-02-15,73
2019-02-16,83
2019-02-17,82
2019-02-18,77
2019-02-19,97
2019-02-20,86
2019-02-21,100
2019-02-22,67
2019-02-23,62
2019-02-24,86
2019-02-25,69
2019-02-26,84
2019-02-27,91
2019-02-28,78
2019-03-01,69
2019-03-02,61
2019-03-03,75
2019-03-04,63
2019-03-05,89
2019-03-06,78
2019-03-07,79
2019-03-08,76
2019-03-09,67
2019-03-10,70
2019-03-11,86
2019-03-12,86
2019-03-13,80
2019-03-14,76
2019-03-15,72
2019-03-16,74
2019-03-17,69
2019-03-18,75
2019-03-19,73
2019-03-20,87
2019-03-21,81
2019-03-22,74
2019-03-23,77
2019-03-24,85
2019-03-25,76
2019-03-26,74
2019-03-27,77
2019-03-28,67
2019-03-29,66
2019-03-30,60
2019-03-31,67
2019-04-01,92
2019-04-02,79
2019-04-03,71
2019-04-04,84
2019-04-05,71
2019-04-06,68
2019-04-07,71
2019-04-08,75
2019-04-09,65
2019-04-10,66
