Categoría: Religión y creencias

Semana,Religión: (Reino Unido)
2018-12-30,67
2019-01-06,87
2019-01-13,89
2019-01-20,81
2019-01-27,75
2019-02-03,83
2019-02-10,87
2019-02-17,75
2019-02-24,84
2019-03-03,87
2019-03-10,91
2019-03-17,93
2019-03-24,99
2019-03-31,79
2019-04-07,71
2019-04-14,81
2019-04-21,95
2019-04-28,93
2019-05-05,91
2019-05-12,92
2019-05-19,88
2019-05-26,68
2019-06-02,83
2019-06-09,78
2019-06-16,83
2019-06-23,76
2019-06-30,67
2019-07-07,70
2019-07-14,64
2019-07-21,53
2019-07-28,56
2019-08-04,58
2019-08-11,66
2019-08-18,63
2019-08-25,57
2019-09-01,73
2019-09-08,100
2019-09-15,88
2019-09-22,86
2019-09-29,85
2019-10-06,93
2019-10-13,88
2019-10-20,75
2019-10-27,79
2019-11-03,93
2019-11-10,85
2019-11-17,84
2019-11-24,79
2019-12-01,79
2019-12-08,81
2019-12-15,74
2019-12-22,79
2019-12-29,71
2020-01-05,82
2020-01-12,84
2020-01-19,79
2020-01-26,80
2020-02-02,84
2020-02-09,77
2020-02-16,69
2020-02-23,91
2020-03-01,79
2020-03-08,76
2020-03-15,66
2020-03-22,83
2020-03-29,90
2020-04-05,84
